Четвер,четвер
проекту,проект
Комі,комі
тету,тета
з,з
питань,питання
бюджету,бюджет
разом,разом
з,з
Головним,головне
юридичним,юридичний
управлінням,управління
Апарату,апарат
Верховної,верховний
Ради,рада
України,Україна
під,під
час,час
оформленн,оформленн
я,я
відповідно,відповідно
го,го
закону,закон
належить,належати
внести,внести
до,до
нього,він
необхідні,необхідний
редакційні,редакційня
та,та
техніко,техніко
юридичні,юридичний
уточнення,уточнення
Прошу,прош
підтримати,підтримати
рішення,рішення
комітету,комітет
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Прошу,прош
провести,провести
запис,запис
на,на
виступи,виступ
два,два
за,за
два,два
проти,проти
Лінько,лінько
Дмитро,Дмитро
Володимирович,володимирович
передає,передавати
слово,слово
Віктору,віктор
Галасюку,галасюк
Колеги,Колеги
ще,ще
раз,раз
наголошую,наголошувати
міністри,міністр
не,не
можуть,могти
перебувати,перебувати
в,в
сесійному,сесійний
залі,зал
Верховної,верховний
Ради,рада
України,Україна
Пане,пане
Олександ,олександ
ре,ре
ГАЛАСЮК,галаско
В,в
В,в
голова,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
пи,пи
тань,тань
промислової,промислова
політики,політика
та,та
підприємництва,підприємництва
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
Радикальна,радикальна
партія,партія
Олега,олега
Ляшка,ляшко
Шановні,шановний
колеги,колега
Уряд,уряд
вчергове,вчергове
імітує,імітує
бурхли,бурхли
ву,ву
діяльність,діяльність
замість,замість
того,те
щоб,щоб
підтримувати,підтримувати
промисло,промисло
вість,вість
економіку,економіка
та,та
експорт,експорт
На,на
по,по
над,над
півтора,півтора
року,рік
затягли,затягл
створення,створення
Експортно,експортно
кредитного,кредитне
агентства,агентство
закон,закон
про,про
як,як
е,е
ми,ми
прийняли,прийняти
в,в
парламент,парламент
і,і
На,на
Експортно,експортно
кред,кред
итне,итне
агентство,агентство
у,у
цьому,це
році,рік
виділили,виділили
200,200
мільйонів,мільйон
гривень,гривня
Можлив,можлив
о,о
вони,вони
спрямовані,спрямований
на,на
підтримку,підтримка
експорту,експорт
Ні,ні
і,і
ще,ще
раз,раз
ні,ні
Уряд,уряд
на,на
своєму,свій
зас,ми
іданні,іданні
таємним,таємний
рішенням,рішення
у,у
кулуарний,кулуарний
спосіб,спосіб
призначи,призначи
в,в
виконувача,виконувача
обов,обов
’язків,’язоко
ЕКА,ека
фунта,фунта
який,який
не,не
має,мати
досвіду,досвід
не,не
погоджений,погоджений
підприємницькою,підприємницька
спільнотою,спільнота
експортерами,експортер
не,не
під,під
тримує,тримува
ться,ться
відповідними,відповідні
організаціями,організація
роботодавців,роботодавець
промисловців,промисловець
та,та
підприємців,підприємець
18,18
Тепер,тепер
вони,вони
хочуть,хотіти
роздерибанити,роздерибанити
200,200
мільйонів,мільйон
гривень,гривня
тому,тому
що,що
з,з
розуміло,розуміло
що,що
ці,цей
кошти,кошти
не,не
мож,мож
уть,уть
бути,бути
спрямовані,спрямований
сьогодні,сьогодні
на,на
підтримку,підтримка
експорту,експорт
бо,бо
до,до
кінця,кінець
року,рік
залишився,залишився
один,один
мі,мі
сяць,сяць
Аналогічна,аналогічна
ситуація,ситуація
й,й
щодо,щодо
інших,інший
статей,стаття
підтримки,підтримка
пром,проє
исловості,исловість
У,у
бюджеті,бюджет
цього,цей
року,рік
200,200
мільйонів,мільйон
на,на
підтримку,підтримка
інновацій,інновація
у,у
про-,про-
мисловості,мисловість
Мож,мож
е,е
там,там
використали,використали
ці,цей
кошти,кошти
для,для
підтримк,підтримк
и,и
україн,україн
ських,ських
виробників,виробник
Ні,ні
50,50
мільйонів,мільйон
на,на
підтримку,підтримка
стартапі,стартап
в,в
жодної,жодний
копійки,копійка
не,не
направили,направити
Суто,суто
імітація,імітація
Коли,коли
ми,ми
уряду,уряд
кажемо,казати
що,що
ці,цей
кошти,кошти
треба,треба
негайно,негайно
спрямувати,спрямувати
на,на
підтримку,підтримка
виставкової,виставкова
діяльності,діяльність
на,на
оплату,оплата
сертифікації,сертифікація
українських,український
виробників,виробник
за,за
кордоном,кордон
на,на
від,від
новлення,новлення
системи,система
освіти,освіта
в,в
міжнародній,міжнароднія
торгівлі,торгівля
ліквідували,ліквідувати
єдиний,єдиний
профільний,профільний
заклад,заклад
це,це
сьогодні,сьогодні
невід,невід
кладно,кладно
треба,треба
робити,робити
а,а
не,не
вигадувати,вигадувата
причини,причина
Щ,щ
о,о
вам,ви
заважає,заважати
створи,створ
ти,ти
Експортно,експортно
кредитне,кредитне
агентство,агентство
Вони,вони
цього,цей
не,не
чують,чути
тому,тому
що,що
в,в
них,вони
інші,інший
інтереси,інтерес
не,не
реальна,реальна
підтри,підтр
мка,мка
експорту,експорт
а,а
бажання,бажання
роздер,роздер
ибанити,ибанит
списати,списати
ці,цей
кошти,кошти
за,за
місяць,місяць
На,на
підтримку,підтримка
експорту,експорт
високотехнологічного,високотехнологічний
вироб,вироб
ництва,ництва
та,та
підвищення,підвищення
зарплат,зарплата
ось,ось
куди,куди
треба,треба
спрямовувати,спрямовувати
кошти,кошти
Прошу,прош
не,не
підтримувати,підтримувати
цей,цей
законопроект,законопроект
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Від,від
фракції,фракція
Блок,блок
Петра,петра
Порошенк,порошенк
а,а
слово,слово
надається,надаватися
Спориш,спориш
у,у
Івану,Іван
Дмитрович,дмитрович
у,у
Будь,бути
ласка,ласка
СПОРИШ,спориш
І,і
Д,Д.
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
сім’ї,сім’я
молодіжної,молодіжний
політики,політика
спорту,спорт
та,та
туризму,туризм
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
15,15
Вінницька,вінницька
область,область
партія,партія
Блок,блок
Петра,петра
Порош,порош
енка,енка
Прошу,прош
передати,передати
слово,слово
Михайлу,михайл
Дов,дов
бенку,бенк
ГОЛОВУЮЧИЙ,головуючий
Будь,бути
ласка,ласка
ДОВБЕНКО,довіенко
М,М.
В,в
Дякую,дякувати
Шановні,шановний
колеги,колега
під,під
час,час
виступ,виступ
у,у
мій,мій
колега,колега
Олександр,Олександр
Горбунов,горбунов
доп,доп
устив,устив
механічну,механічна
неточність,неточність
Він,він
сказав,сказати
що,що
потрібно,потрібно
112,112
2,2
мільйона,мільйона
Ні,ні
треба,треба
112,112
тисяч,тисяча
200,200
гривень,гривня
Це,це
абсолютно,абсолютно
цільові,цільова
кошти,кошти
Нам,ми
потрібно,потрібно
для,для
сплати,сплата
державного,державний
мита,мита
за,за
реєстра,реєстр
цію,цій
випуску,випуск
цінних,цінний
паперів,паперів
88,88
тисяч,тисяча
100,100
гривень,гривня
за,за
присвоєння,присвоєння
акціям,акція
міжнародного,міжнародний
ідентифікаційного,ідентифікаційне
номера,номера
цінних,цінний
паперів,паперів
центральним,центральний
депозитарієм,депозитарій
та,та
уклад,уклад
ення,ення
з,з
ним,він
дог,дог
овору,овору
19,19
про,про
обслуговування,обслуговування
ще,ще
14,14
тисяч,тисяча
100,100
гривень,гривня
та,та
відкриття,відкриття
поточного,поточне
рахунку,рахунок
для,для
формування,формування
статутного,статутний
фонду,фонд
10,10
тисяч,тисяча
гривень,гривня
Думаю,думати
це,це
технічні,технічні
речі,річ
Давайте,давайте
проголосуємо,проголосуємо
щоб,щоб
нарешті,нарешті
я,я
поділяю,поділя
тривогу,тривога
пана,пан
Галасюка,галасюка
Експортно,експортно
кредитн,кредитн
е,е
агентство,агентство
працювал,працювал
о,о
Ми,ми
н,н
е,е
можемо,могти
зат,зат
ягувати,ягуват
ц,ц
ієї,ієя
справ,справа
и,и
адже,адже
вже,вже
майже,майже
два,два
роки,рік
як,як
воно,воно
не,не
працює,працювати
У,у
нашій,наш
державі,держава
це,це
ненормально,ненормально
Т,т
ому,вона
прошу,просити
проголосувати,проголосувати
цей,цей
законопроект,законопроект
і,і
дати,дати
старт,старт
справі,справа
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Колеги,Колеги
залишилося,залишитися
ще,ще
два,два
виступи,виступ
За,за
3,3
4,4
хвилин,хвилина
и,и
відбуде,відбуде
ться,ться
голосування,голосування
Т,т
ому,вона
я,я
прошу,просити
всіх,весь
голів,голова
фракцій,фракція
запросити,запросити
народних,народний
депутатів,депутат
до,до
залу,зал
Від,від
фракції,фракція
Опозиційний,опозиційний
блок,блок
слово,слово
має,мати
Ігор,Ігор
Шурма,шурма
Увімк,увімк
ніть,ніть
будь,бути
ласка,ласка
мікрофон,мікрофон
ШУРМА,шурма
І,і
М,М.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
охорони,охорона
здор,здор
ов’я,ов’я
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Опозиційний,опозиційний
блок,блок
Ігор,Ігор
Шурма,шурма
ГОЛОВУЮЧИЙ,головуючий
Перепрошую,перепрошуя
У,у
мене,я
записа,записа
ний,ний
Гусак,гусак
Воло,воло
димир,димир
Георгійович,георгійович
В,в
ін,ін.
не,не
передає,передавати
слово,слово
Я,я
думав,думати
що,що
ви,ви
між,між
собою,себе
порозумілися,порозумілися
До,до
слова,слово
запрошу,запроша
ється,ється
Володимир,Володимир
Гусак,гусак
Будь,бути
ласка,ласка
ГУСАК,гуса
В,в
Г,Г.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
транспорту,транспорт
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Опозиційний,опозиційний
блок,блок
Дуже,дуже
дивно,дивно
бачити,бачити
цей,цей
зако,зако
нопроект,нопроект
у,у
залі,зал
В,в
ерховної,ерховна
Ради,рада
Укр,укр
аїни,аїни
бо,бо
уряд,уряд
фактично,фактично
каже,казати
що,що
не,не
зміг,змогти
знайти,знайти
112,112
тисяч,тисяча
гривень,гривня
для,для
того,те
щоб,щоб
в,в
Україні,Україна
нарешті,нарешті
запрацювало,запрацювало
Експортно,експортно
кредитне,кредитне
агентство,агентство
Потрібно,потрібно
називати,називати
речі,річ
своїми,свій
іменами,ім’я
у,у
ряд,ряд
фактично,фактично
саботує,саботує
і,і
створення,створення
Експортно,експортно
кредитного,кредитне
агентства,агентство
і,і
взагалі,взагалі
п,п.
ідтримку,ідтримка
екс,екс
порту,порт
в,в
Україні,Україна
Якщо,якщо
говори,говори
ти,ти
мовою,мова
цифр,цифра
то,то
сьогодні,сьогодні
загальний,загальний
украї,укра
нський,нський
експорт,експорт
майже,майже
на,на
третину,третин
менший,менший
ніж,ніж
був,бути
у,у
2012,2012
2013,2013
роках,рік
Н,Н.
а,а
жаль,жаль
левову,левов
частку,частка
цього,цей
експо,експо
рту,рти
продовжує,продовжувати
стано,стано
вити,вити
продукція,продукція
з,з
низькою,низький
часткою,частка
додан,додан
ої,ої
вартості,вартість
20,20
Дійсно,дійсно
Верховна,верховний
Рада,рада
намагалася,намагатися
прийняти,прийняти
ряд,ряд
законопроектів,законопроект
спрямованих,спрямований
хоч,хоч
на,на
якусь,якийсь
підтримку,підтримка
експорту,експорт
зокрема,зокрема
технологіч,технологіч
ного,він
на,на
створення,створення
Експортно,експортно
кредитного,кредитне
агентства,агентство
Але,але
як,як
бачимо,бачити
уряд,уряд
сьогодні,сьогодні
це,це
фактично,фактично
саботує,саботує
У,у
цій,цей
ситуації,ситуація
навіть,навіть
є,бути
елем,ялем
енти,ента
жарту,жарт
задля,задля
того,те
щоб,щоб
уряд,уряд
виділив,виділив
112,112
тисяч,тисяча
гривень,гривня
треба,треба
голосу,голос
вати,вата
законопроект,законопроект
у,у
Верховній,верховній
Раді,раді
Фракція,фракція
політичн,політичн
ої,ої
парті,парта
ї,ї
Опозиційний,опозиційний
блок,блок
наполягає,наполягати
на,на
реальній,реальній
підтримці,підтримці
української,український
економіки,економіка
і,і
українського,український
експорту,експорт
А,а
за,за
цей,цей
законопроект,законопроект
ми,ми
не,не
голосувати,голосуват
мемо,мемо
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Отже,отже
колеги,колега
о,о
бговорення,бговорення
питання,питання
завершено,завершено
переходимо,переходий
до,до
прийняття,прийняття
рішення,рішення
Прошу,прош
всіх,весь
депутатів,депутат
зайти,зайти
до,до
залу,зал
зайняти,зайняти
свої,свій
робочі,робоча
місця,місце
і,і
підготуватися,підготуватися
до,до
голосування,голосування
Прошу,прош
членів,член
комітету,комітет
змобілізувати,змобілізуват
депута,депута
тів,тів
Ставлю,ставля
на,на
голосування,голосування
пропозицію,пропозиція
комітету,комітет
про,про
прийняття,прийняття
проект,проект
у,у
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
додатку,додаток
№,№
3,3
до,до
Закону,закон
України,Україна
Про,про
Д,Д.
ержавний,ержавний
бюджет,бюджет
України,Україна
на,на
2018,2018
рік,рік
№,№
8414,8414
за,за
основу,основа
та,та
в,в
цілому,ціле
з,з
урахуванням,урахування
пропозицій,пропозиція
комітету,комітет
Прошу,прош
п,п.
ідтримати,ідтримати
Голосуємо,голосує
За,за
176,176
Я,я
поставлю,поставити
ще,ще
раз,раз
на,на
голосування,голосування
пропозицію,пропозиція
про,про
повернення,повернення
до,до
розгляду,розгляд
але,але
це,це
занадто,занадто
великий,великий
розрив,розрив
голосів,голос
Отже,отже
хто,хто
підтримує,підтримувати
пропозицію,пропозиція
про,про
поверн,поверн
ення,ення
до,до
розгляду,розгляд
проекту,проект
закону,закон
№,№
8414,8414
прошу,просити
проголосувати,проголосувати
Якщо,якщо
ми,ми
не,не
повер,повер
немося,немось
його,його
буде,бути
відхилено,відхилити
Будь,бути
ласка,ласка
За,за
173,173
Рішення,рішення
не,не
прийнято,прийнято
Проект,проект
закону,закон
№,№
8414,8414
відхилено,відхилити
ГОЛОС,голос
ІЗ,ІЗ
ЗАЛУ,залу
Давайте,давайте
зразу,зразу
розглядати,розглядати
проект,проект
бюджету,бюджет
ГОЛОВУЮЧИЙ,головуючий
Не,не
поспішайте,поспішайте
це,це
нічого,ніщо
не,не
дасть,дати
––––––––––,–––––––
21,21
На,на
ваш,ваш
розгляд,розгляд
пропонує,пропонувати
ться,ться
наступний,наступний
проект,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
щодо,щодо
відновлення,відновлення
діяльності,діяльність
Державного,державний
акціонерного,акціонерний
товариства,товариство
Чорноморнафтогаз,чорноморнафтогаз
№,№
8338,8338
Прошу,прош
підтримати,підтримати
пропозицію,пропозиція
розгля,розгля
нути,нут
його,його
за,за
скоро,скоро
ченою,ченг
процедурою,процедура
Прошу,прош
голосувати,голосуват
За,за
152,152
Рішення,рішення
прийнято,прийнято
До,до
доповіді,доповід
запрошу,запроша
ється,ється
народн,народн
ий,ий
депутат,депутат
України,Україна
Луценко,луценко
Ірин,ірин
а,а
Степанівн,Степанівн
а,а
Будь,бути
ласка,ласка
ЛУЦЕНКО,луценко
І,і
С,С.
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
у,у
закордонних,закордонний
справах,справа
загальнодержавний,загальнодержавний
багатомандат,багатомандат
ний,ний
виборчий,виборчий
о,о
круг,круг
партія,партія
Блок,блок
Петра,петра
Порошенка,Порошенко
Шановний,шановний
пане,пане
Голово,голово
Шановні,шановний
колеги,колега
Питання,питання
щодо,щодо
відновлення,відновлення
діяльності,діяльність
Чорноморнафтогаз,чорноморнафтогаз
у,у
ми,ми
розглядаємо,розглядати
вже,вже
не,не
вперше,вперше
Хочу,хотіти
нагадати,нагадати
що,що
до,до
окупації,окупація
Росією,Росія
частини,частина
території,територія
України,Україна
дане,дане
т,т.
овариство,овариство
було,бути
одним,один
з,з
на,на
йбільших,йбільші
підприємств,підприємство
паливно,паливно
енергетичного,енергетичний
ком,хто
плексу,плекс
яке,який
видобувало,видобувало
близько,близько
2,2
мільярдів,мільярд
кубічних,кубічний
метрів,метр
газу,газ
на,на
шельфі,шельфі
Чорного,чорний
та,та
Азовського,азовський
морів,море
Проте,проте
в,в
результаті,результат
анексії,анексія
Чорноморнафтогаз,чорноморнафтогаз
втратив,втратити
доступ,доступ
до,до
більшості,більшість
своїх,свій
родовищ,родовище
та,та
видобувних,видобувні
акт,акт
ивів,ивів
13,13
березня,березень
2018,2018
року,рік
парламентом,парламент
п,п.
рийнято,рийнято
закон,закон
№,№
2320,2320
VIII,VIII
спрямований,спрямований
на,на
збереження,збереження
Державного,державний
акціонерного,акціонерний
товариства,товариство
Чорноморнафтогаз,чорноморнафтогаз
завдяки,завдяки
чому,чому
не,не
допущено,допущено
його,його
банкрутства,банкрутства
а,а
також,також
продовжено,продовжено
дію,дія
спецдозволів,спецдозволив
на,на
користування,користування
надрами,надра
як,як
і,і
є,бути
складовою,складова
доказово,доказово
ї,ї
бази,база
в,в
міжнародних,міжнародний
судах,суд
проти,проти
Росії,Росія
Водно,водно
час,час
вказаний,вказаний
закон,закон
не,не
забезпечив,забезпечив
відновлення,відновлення
діяльності,діяльність
товариства,товариство
оскільки,оскільки
зупинення,зупинення
виконавчих,виконавчий
проваджень,провадження
яке,який
ним,він
пропонувалося,пропонуватися
суперечило,суперечити
Конституції,конституція
України,Україна
На,на
сьогодні,сьогодні
фактично,фактично
ві,ві
дсутні,дсутень
можливості,можливість
для,для
забезпечення,забезпечення
нормального,нормальний
функціонування,функціонування
Чорно,чорно
морнафтогазу,морнафтогаз
У,у
товариства,товариство
є,бути
проблеми,проблема
з,з
уклад,уклад
анням,анне
договорів,договори
на,на
оренду,оренда
при,при
міщень,міщень
на,на
ведення,ведення
діяльності,діяльність
щодо,щодо
тих,той
ро,ро
довищ,довищ
які,який
знаходяться,знаходитися
на,на
неокупованій,неокупованія
території,територія
України,Україна
До,до
того,те
ж,ж
надзвичайно,надзвичайно
складно,складно
організувати,організувати
видобуток,видобуток
природ,природ
ного,він
газу,газ
оскільки,оскільки
постачальники,постачальники
товарів,товар
робіт,робота
і,і
послуг,послуга
в,в
ідмов,ідмов
ляються,ляються
співпрацювати,співпрацювати
з,з
підприємством,підприємство
у,у
якого,який
відсутні,відсутній
діючі,діюч
рахунки,рахунок
Зважаючи,зважати
на,на
сказане,сказане
під,під
загрозою,загроза
знаходиться,знаходитися
своєчасне,своєчасне
22,22
та,та
безперебійне,безперебійне
газопостачання,газопостачання
Генічеського,генічеський
району,район
Херсонської,херсонський
області,область
З,з
огляду,огляд
на,на
зазначене,зазначене
з,з
метою,мета
відновлення,відновлення
вир,вир
обничої,обнича
діяльності,діяльність
товариства,товариство
підготовлено,підготовити
законопроект,законопроект
№,№
8338,8338
у,у
якому,який
пропонується,пропонується
встановити,встановити
що,що
на,на
період,період
тимчасової,тимчасовий
окупації,окупація
території,територія
України,Україна
Чорно,чорно
морнафтогаз,морнафтогаз
відкриває,відкривати
поточний,поточний
рахунок,рахунок
із,із
спеціальним,спеціальний
режимом,режим
використання,використання
для,для
проведення,проведення
розрахунків,розрахунок
щодо,щодо
забез,забез
печення,печення
виро,виро
бничої,бнича
діяльності,діяльність
щодо,щодо
захисту,захист
майнових,майнов
прав,право
у,у
судах,суд
а,а
також,також
погашення,погашення
заборгованості,заборгованість
перед,перед
кредиторами,кредитор
і,і
бюджетом,бюджет
Такий,такий
рахун,рахун
ок,ок
відкриватиметься,відкриватиметься
в,в
уповноваженому,уповноважений
банку,банк
визна,визна
ченому,чене
Кабінетом,кабінет
Міні,міні
стрів,стрево
України,Україна
за,за
пропозицією,пропозиція
Національної,національний
акціонерної,акціонерна
компанії,компанія
Нафтогаз,нафтогаз
України,Україна
Відновлення,відновлення
повноцінної,повноцінний
виробничої,виробнич
діяльності,діяльність
Чорноморнафтогазу,чорноморнафтогаз
сприятиме,сприятиме
забезпеченню,забезпечення
енергетичної,енергетичний
безпеки,безпека
та,та
незалежності,незалежність
України,Україна
особливо,особливо
в,в
Херсон,Херсон
ській,ській
області,область
Ц,ц
е,е
стосується,стосуватися
населення,населення
Генічеського,генічеський
району,район
З,з
огляду,огляд
на,на
сказане,сказане
прошу,просити
сконсолідуватися,сконсолідуватися
і,і
підтримати,підтримати
даний,даний
законопроект,законопроект
він,він
дуже,дуже
маленький,маленький
і,і
направлений,направлений
на,на
конкретну,конкретн
дію,дія
за,за
основу,основа
та,та
в,в
цілому,ціле
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
До,до
співдоповіді,співдоповід
запрошується,запрошується
заступ,заступ
ник,ник
голови,голова
Комітету,комітет
з,з
питань,питання
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
ядерної,ядерна
політики,політика
та,та
ядерної,ядерна
безпеки,безпека
Бєлькова,бєлькова
Ольга,Ольга
Валентинівна,валентинівна
Будь,бути
ласка,ласка
пані,пані
Олю,олю
БЄЛЬКОВА,бщлекова
О,О.
В,в
заступник,заступник
голови,голова
Ко,ко
мітету,мітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
ядерної,ядерна
політики,політика
та,та
ядерної,ядерна
безпеки,безпека
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
партія,партія
Блок,блок
Петра,петра
Порошенка,Порошенко
Шановні,шановний
колеги,колега
Предста,предст
в-,в-
ник,ник
Президента,президент
України,Україна
у,у
Верховній,верховній
Раді,раді
пояснила,пояснити
вам,ви
суть,суть
запропо,запропо
нованого,нований
законопроекту,законопроект
Насправді,насправді
у,у
березні,березень
ми,ми
частково,частково
розв’яза,розв’яза
ли,ли
проблематику,проблематик
Чорноморнафтогазу,чорноморнафтогаз
відновили,відновили
для,для
них,вони
можливість,можливість
користуватися,користуватися
їх,вони
німи,вони
ліцензіями,ліцензія
Однак,однак
саме,саме
кредиторська,кредиторська
заборго,заборго
ваність,ваність
на,на
сьогодні,сьогодні
фактично,фактично
блок,блок
ує,ує
господарську,господарська
діяльність,діяльність
цього,цей
підприємства,підприємство
Маючи,маюч
ліцензії,ліцензія
вони,вони
не,не
можуть,могти
використовувати,використовувати
свої,свій
кошти,кошти
для,для
того,те
щоб,щоб
вес,вес
ти,ти
бодай,бодай
якусь,якийсь
діяльність,діяльність
щ,Щ
одо,одо
видобутку,видобуток
На,на
сьогодні,сьогодні
заборгованість,заборгованість
підприємства,підприємство
підтверджена,підтверджена
рішеннями,рішення
23,23
судів,суд
й,й
сягає,сягати
500,500
мільйонів,мільйон
гривень,гривня
Фактично,фактично
що,що
дня,день
вона,вона
зростає,зростати
через,через
суми,сума
пені,я
та,та
штраф,штраф
ів,ів
Відповідно,відповідно
цим,цей
законопроектом,законопроект
ми,ми
пропонуємо,пропонувати
встановити,встановити
режим,режим
спеціальних,спеціальний
ра,ра
хунків,хунк
де,де
буде,бути
чітко,чітко
видно,видно
куди,куди
підуть,підуть
гроші,гроші
на,на
погашення,погашення
заборгованостей,заборгованість
на,на
господарську,господарська
діяльність,діяльність
для,для
того,те
щоб,щоб
підприємство,підприємство
могло,могти
відновити,відновити
свою,свій
діяльність,діяльність
Фактично,фактично
Комі,комі
тет,тет
з,з
питань,питання
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
ядерної,ядерна
політики,політика
та,та
ядерної,ядерна
безпеки,безпека
не,не
раз,раз
розглядав,розглядати
це,це
питання,питання
і,і
21,21
червня,червень
2018,2018
року,рік
ми,ми
прийняли,прийняти
рішення,рішення
підтримати,підтримати
законопроект,законопроект
за,за
основу,основа
та,та
в,в
цілому,ціле
Дуже,дуже
прошу,просити
всіх,весь
підтримати,підтримати
це,це
рішення,рішення
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Прошу,прош
провести,провести
запис,запис
на,на
виступи,виступ
два,два
за,за
два,два
проти,проти
Від,від
фракції,фракція
Народний,народний
фронт,фронт
слово,слово
надається,надаватися
Бондар,бондар
ю,ю
Ми-,ми-
хайл,хайл
у,у
Леонтійович,Леонтійович
у,у
Будь,бути
ласка,ласка
БОНДАР,бондар
М,М.
Л,л
голова,голова
підкомітету,підкомітет
Ком,хом
ітету,ітета
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
паливно,паливно
енергетичного,енергетичний
комплексу,комплекс
ядерної,ядерна
політики,політика
та,та
ядерної,ядерна
безпеки,безпека
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
119,119
Львівська,львівський
область,область
політична,політична
партія,партія
Народний,народний
фронт,фронт
Дякую,дякувати
Н,Н.
а,а
засіданні,засідання
комітету,комітет
ми,ми
дійсно,дійсно
не,не
раз,раз
розглядал,розглядал
и,и
законопроекти,законопроект
які,який
потребують,потребують
врегулювання,врегулювання
питань,питання
щодо,щодо
Чорноморнафтогазу,чорноморнафтогаз
Думаю,думати
що,що
даний,даний
законопроект,законопроект
також,також
треба,треба
підтримати,підтримати
Фракція,фракція
Народний,народний
фронт,фронт
голосувати,голосуват
ме,ме
за,за
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Від,від
фракції,фракція
Блок,блок
Петра,петра
Порошенка,Порошенко
слово,слово
надається,надаватися
Миколі,миколь
Паламарчук,паламарчук
у,у
ПАЛАМАРЧУК,паламарчук
М,М.
П,П.
перший,перший
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
законодавчого,законодавчий
забезпечення,забезпечення
право,право
охоронної,охоронна
діяльності,діяльність
