Вівторок,вівторок
розгляд,розгляд
за,за
скороченою,скорочена
процедурою,процедура
За,за
141,141
Колеги,Колеги
я,я
ще,ще
раз,раз
поставлю,поставити
на,на
голосування,голосування
Прошу,прош
всіх,весь
зайняти,зайняти
робочі,робоча
місця,місце
Колеги,Колеги
можемо,могти
голосувати,голосуват
Усі,увесь
вже,вже
на,на
місцях,місце
Я,я
про,про
шу,шу
зайняти,зайняти
робочі,робоча
місця,місце
і,і
підготуватися,підготуватися
до,до
голосування,голосування
17,17
Колеги,Колеги
я,я
ще,ще
раз,раз
ставлю,ставель
на,на
голосування,голосування
пропозицію,пропозиція
про,про
розгляд,розгляд
за,за
скороченою,скорочена
процедурою,процедура
проекту,проект
Постанови,постанова
Про,про
внесення,внесення
зміни,зміна
до,до
пункту,пункт
3,3
Постанови,постанова
Верховної,верховний
Ради,рада
України,Україна
Про,про
додаткові,додатковий
захо,захо
ди,ди
щодо,щодо
зміцнення,зміцнення
обороноздатності,обороноздатність
та,та
безпеки,безпека
держави,держава
Прошу,прош
під,під
тримати,тримати
розгляд,розгляд
за,за
скороченою,скорочена
процедурою,процедура
Прошу,прош
голосувати,голосуват
Будь,бути
ласка,ласка
колеги,колега
голосуємо,голосує
За,за
152,152
Рішення,рішення
прийнято,прийнято
Запрошую,запрошуй
до,до
доповіді,доповід
представника,представника
Комітету,комітет
з,з
питань,питання
націо,націо
нальної,нальна
безпеки,безпека
і,і
оборони,оборона
пана,пан
Вінника,вінника
Будь,бути
ласка,ласка
ВІННИК,вінник
І,і
Ю,Ю
секретар,секретар
К,К.
омітету,омітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
національної,національний
безпеки,безпека
і,і
оборони,оборона
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
184,184
Херсонська,херсонська
область,область
партія,партія
Блок,блок
Петра,петра
Порошенка,Порошенко
Доброго,добрий
ранку,ранок
шановні,шановня
колеги,колега
Доброго,добрий
ранку,ранок
Україно,україно
Я,я
хочу,хотіти
роз,роз
почати,почати
свій,свій
виступ,виступ
з,з
привітанн,привітанн
я,я
Збройних,збройний
Сил,сила
України,Україна
із,із
професій,професія
ним,він
святом,свято
Так,так
сталося,статися
що,що
нині,нині
це,це
той,той
інститут,інститут
який,який
захищає,захищати
неза,незо
лежність,лежність
України,Україна
Не,не
Будапештський,будапештський
меморандум,меморандум
а,а
наші,наш
хлопці,хлопець
та,та
дівчата,дівчина
в,в
окопах,окоп
захищають,захищати
державу,держава
наших,наш
дітей,дитина
наше,наш
майбутнє,майбутнє
Тут,тут
говорили,говорити
про,про
відпові,відпова
дальність,дальність
про,про
довіру,довір
Справді,справді
Збройні,збройна
Сили,сила
України,Україна
це,це
той,той
інститут,інститут
як,як
ий,ий
має,мати
найвищий,найвищий
рівень,рівень
довіри,довіра
у,у
суспільстві,суспільство
на,на
відміну,відміна
від,від
Верховної,верховний
Ради,рада
чи,чи
інших,інший
гілок,гілок
влади,влада
Я,я
з,з
цим,цей
погоджуюся,погоджуватися
Чому,чому
Тому,тому
що,що
вони,вони
мають,мати
відповідальність,відповідальність
Не,не
можна,можна
піти,піти
з,з
окопу,окоп
куди,куди
заманеться,заманутися
тому,тому
що,що
комусь,хтось
треба,треба
розіграти,розіграти
політичну,політичний
карту,карта
Ні,ні
з,з
окопу,окоп
піти,піти
не,не
можна,можна
але,але
наші,наш
колеги,колега
це,це
собі,себе
дозволяють,дозволяти
Тим,той
не,не
менше,менше
сьогодні,сьогодні
у,у
День,день
Збройних,збройний
Сил,сила
України,Україна
треба,треба
розглянути,розглянути
цей,цей
проект,проект
постанови,постанова
щоб,щоб
відновити,відновити
соціальну,соціальн
справед,справед
ливість,ливість
Чому,чому
виникла,виникла
така,такий
потреба,потреба
Коли,коли
почалася,початися
війна,війна
строко,строко
вики,вик
опинилися,опинитися
в,в
зоні,зона
проведення,проведення
антитерористичної,антитерористична
операції,операція
Кабмін,кабмін
встановив,встановив
для,для
них,вони
грошове,грошове
забезпечення,забезпечення
на,на
рівні,рівень
контрактників,контрактник
На,на
сьогодні,сьогодні
строковиків,строковик
у,у
зоні,зона
АТО,АТО
немає,немати
Контрактники,контрактники
отримуют,отримуют
ь,ь
гідну,гідна
заробітну,заробітно
плату,плата
а,а
строковики,строковики
проходять,проходити
службу,служба
й,й
н,н
авчання,авчання
у,у
військових,військовий
частинах,частина
в,в
тилу,тила
щоб,щоб
у,у
подальшому,подальше
прийняти,прийняти
рішення,рішення
піти,піти
на,на
службу,служба
за,за
контрактом,контракт
стати,стати
професійним,професійний
військовим,військовий
і,і
захи,зах
щати,щати
країну,країна
або,або
повернутися,повернутися
до,до
цивільного,цивільне
життя,життя
і,і
залиш,залиш
атися,атися
в,в
мобілізаційному,мобілізаційний
резерві,резерв
Ми,ми
не,не
можемо,могти
платити,платити
однакову,однаків
зарплату,зарплата
18,18
контрактникам,контрактник
та,та
військовослужбовцям,військовослужбовець
строкової,строкова
служби,служба
які,який
пере,пере
бувають,бувати
у,у
тилу,тила
бо,бо
таким,такий
чином,чин
ми,ми
встановимо,встановити
соціальну,соціальн
неспра,неспра
ведливість,ведливість
Інформую,інформую
суспільство,суспільство
що,що
завтра,завтра
Комітет,комітет
з,з
питань,питання
національної,національний
безпеки,безпека
і,і
оборони,оборона
розгляне,розгляне
питання,питання
про,про
підвищення,підвищення
надбавки,надбавки
за,за
перебування,перебування
в,в
зоні,зона
проведення,проведення
антитерористичної,антитерористична
операції,операція
в,в
першій,перший
та,та
в,в
другій,другий
лініях,лінія
Справді,справді
воїни,воїни
на,на
передовій,передова
мають,мати
отримувати,отримувати
більше,більше
грошей,гроші
Щонайменше,щонайменше
на,на
2,2
5,5
тисячі,тисяча
гривень,гривня
б,б
уде,уде
збільшено,збільшити
додатково,додатково
грошове,грошове
забезпечення,забезпечення
у,у
першій,перший
лінії,лінія
зони,зона
проведення,проведення
АТО,АТО
і,і
на,на
1,1
5,5
тисячі,тисяча
у,у
другій,другий
лінії,лінія
Таким,такий
буде,бути
рішення,рішення
комітету,комітет
Ми,ми
звер,звер
немося,немось
до,до
уряду,уряд
з,з
категоричною,категорична
вимогою,вимога
комітету,комітет
щодо,щодо
прийняття,прийняття
бюджету,бюджет
на,на
наступний,наступний
рік,рік
Рішення,рішення
комітет,комітет
у,у
прийняти,прийняти
проект,проект
постанови,постанова
№,№
5048,5048
за,за
основу,основа
та,та
в,в
цілому,ціле
Сподіваюся,сподіваюся
що,що
ми,ми
знайдемо,знайде
в,в
цій,цей
залі,зал
226,226
голосів,голос
у,у
День,день
Збройних,збройний
Сил,сила
України,Україна
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Прошу,прош
записатися,записатися
на,на
виступи,виступ
два,два
за,за
два,два
проти,проти
Веде,вести
засідання,засідання
Перший,перший
заступник,заступник
Голов,голов
и,и
Верховної,верховний
Ради,рада
України,Україна
ГЕРАЩЕНКО,геращенко
І,і
В,в
ГОЛОВУЮЧА,головік
Народний,народний
депутат,депутат
Кобцев,кобцев
Блок,блок
Петра,петра
Поро,поро
шенка,шенка
Будь,бути
ласка,ласка
КОБЦЕВ,кобце
М,М.
В,в
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
податкової,податковий
та,та
митної,митний
політики,політика
загальнодержав,загальнодержава
ний,ний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
партія,партія
Блок,блок
Петра,петра
Поро,поро
шенка,шенка
Прошу,прош
передати,передати
слово,слово
Андрію,Андрій
Шиньковичу,шинькович
ГОЛОВУЮЧА,головік
Увімкніть,увімкніть
мікрофон,мікрофон
Андрія,Андрій
Шиньковича,шинькович
будь,бути
ласка,ласка
ШИНЬКОВИЧ,шинькович
А,а
В,в
заступник,заступник
голови,голова
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
будівництва,будівництво
містобудування,містобудування
і,і
житлово,житловий
комунального,комунальне
господарства,господарство
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
189,189
Хмельницька,хмельницький
область,область
самовисуванець,самовисуванець
Дякую,дякувати
шановний,шановний
Михайле,Михайло
19,19
Валентиновичу,Валентинович
Кобцев,кобцев
Шановні,шановний
колеги,колега
закликаємо,заклика
вас,ви
підтри,підтр
мати,мати
цей,цей
украй,украй
потрібний,потрібний
законопроект,законопроект
Як,як
ви,ви
пам’ятаєте,пам’ятаєте
6,6
травня,травень
2014,2014
року,рік
коли,коли
розпочалася,розпочатися
агресія,агресія
ми,ми
прирівняли,прирівняли
строковиків,строковик
до,до
контрактників,контрактник
Але,але
сьогодні,сьогодні
маємо,мати
відновити,відновити
справедливість,справедливість
чесно,чесно
сказати,сказати
що,що
контрактники,контрактники
сьогодні,сьогодні
на,на
передовій,передова
зрівнялівки,зрівнялівка
не,не
по,по
винно,винно
бути,бути
Треба,треба
гідно,гідно
оцінити,оцінити
працю,праця
великий,великий
громадян,громадянин
ський,ський
обо,обо
в’язок,в’язок
тих,той
хто,хто
забезпечує,забезпечувати
мільйонам,мільйон
українців,українець
мир,мир
не,не
дає,давати
нам,ми
від,від
чути,чути
величезну,величезний
проблему,проблема
війни,війна
з,з
усіма,увесь
її,вона
наслідками,наслідок
Дякуємо,дякув
Збройним,збройний
Силам,сила
усім,увесь
добровольцям,добровольце
силам,сила
Міністер,міністер
ства,ство
внутрішніх,внутрішній
справ,справа
за,за
ту,той
роботу,робота
яку,який
вони,вони
здійснюють,здійснюють
сьогодні,сьогодні
6,6
грудня,грудень
Щиро,щиро
дякуючи,дякуюча
їм,вони
закликаємо,заклика
зал,зал
до,до
єдності,єдність
На,на
жаль,жаль
не,не
всі,весь
фракції,фракція
сьогодні,сьогодні
присутні,присутній
в,в
залі,зал
Нам,ми
дуже,дуже
прикро,прикро
що,що
для,для
Самопо,самопо
мочі,моке
в,в
такий,такий
важливий,важливий
день,день
політика,політика
стала,стати
важливішою,важливіша
за,за
тих,той
бійців,бій
і,і
офіцерів,офіцер
які,який
захищають,захищати
мир,мир
Закликаємо,заклика
їх,вони
по,по
вернути,вернута
ся,ся
до,до
залу,зал
і,і
продовжити,продовжити
працювати,працювати
Люди,людина
чекають,чекають
від,від
нас,ми
роботи,робота
а,а
не,не
полі,поле
тичних,тичне
амбіцій,амбіція
з’ясування,з’ясування
стосунків,стосунок
і,і
самопіару,самопіар
Люди,людина
чекають,чекають
від,від
нас,ми
прийняття,прийняття
законів,закон
Дякую,дякувати
Веде,вести
засідання,засідання
Голова,голова
Верховної,верховний
Ради,рада
України,Україна
ПАРУБІЙ,парубій
А,а
В,в
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Від,від
Народного,народний
фронту,фронт
до,до
слова,слово
запрошується,запрошується
Юрій,Юрій
Володи,володи
мирович,мирович
Тимошенко,тимошенко
Будь,бути
ласка,ласка
ТИМОШЕНКО,тимошенко
Ю,Ю
В,в
член,член
Ко,ко
мітету,мітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
запобігання,запобігання
і,і
протидії,протидія
корупції,корупція
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
88,88
Івано,івано
Франківська,Франківськ
область,область
політична,політична
п,п.
артія,артія
Народний,народний
фронт,фронт
Друзі,друг
про,про
що,що
тут,тут
говорити,говорити
Майте,майте
совість,совість
Хлопці,хлопець
й,й
дівча,дівча
та,та
які,який
на,на
передовій,передова
мерзнуть,мерзнуть
страждають,страждають
готові,готовий
віддати,віддати
життя,життя
за,за
державу,держава
за,за
всіх,весь
нас,ми
А,а
ми,ми
так,так
гарно,гарно
тут,тут
в,в
теплі,теплий
набуваємося,набуватося
Майте,майте
совість,совість
Не,не
пошкодуйте,пошкодуйте
для,для
них,вони
підтри,підтр
майте,майте
хоча,хоча
б,б
чимось,щось
хоч,хоч
тро,тро
хи,хи
зайвий,зайвий
раз,раз
віддячте,віддячте
Просто,просто
нагадайте,нагадайте
їм,вони
що,що
ви,ви
про,про
них,вони
пам’я,пам’я
таєте,таєте
Дякую,дякувати
всім,весь
порядним,порядний
людям,людина
в,в
цьому,це
залі,зал
Дякую,дякувати
кожному,кожний
хто,хто
підтримує,підтримувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Від,від
Батьківщини,батьківщина
Соболєв,соболєв
Сергій,Сергій
Владиславович,владиславович
Будь,бути
ласка,ласка
20,20
СОБОЛЄВ,соболщо
С,С.
В,в
член,член
Ко,ко
мітету,мітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
правової,правова
політики,політика
та,та
правосуддя,правосуддя
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Батьківщина,батьківщина
Батьківщина,батьківщина
Шановні,шановний
колеги,колега
попе,попе
реднього,редне
разу,раз
під,під
час,час
розгляду,розгляд
цього,цей
питання,питання
ми,ми
запропонували,запропонувати
Міністерству,міністерство
оборони,оборона
разом,разом
з,з
Міністерством,міністерство
фінансів,фінанси
розробити,розробити
чітку,чіток
схему,схе
забезпечення,забезпечення
відповідного,відповідний
утримання,утримання
не,не
зменшуючи,зменшуючи
виплати,виплата
строковикам,строковик
збільшити,збільшити
виплати,виплата
тим,те
х,х
то,то
на,на
передовій,передова
Я,я
не,не
знаю,знати
хто,хто
з,з
вас,ви
служи,служ
в,в
в,в
армії,армія
в,в
Радянському,радянський
Союзі,союз
хто,хто
служив,служити
тепер,тепер
але,але
я,я
знаю,знати
кого,хто
викликають,викликати
на,на
строкову,строкова
службу,служба
переважно,переважно
сільських,сільськи
дітей,дитина
дітей,дитина
сиріт,сиріт
які,який
не,не
можуть,могти
відкупитися,відкупитися
або,або
відмазатися,відмазатися
від,від
армії,армія
Ці,цей
люди,людина
так,так
само,само
мають,мати
сім’ї,сім’я
Вони,вони
виконують,виконувати
свій,свій
обов’язок,обов’язок
але,але
не,не
на,на
добровільних,добровільний
засадах,засада
а,а
тому,тому
що,що
їх,вони
закликали,закликати
на,на
строкову,строкова
військову,військовий
службу,служба
Наша,наш
пропозиція,пропозиція
залишається,залишатися
незмінною,незмінна
ми,ми
не,не
маємо,мати
права,право
відбирати,відбират
в,в
цих,цей
людей,людина
кошти,кошти
які,який
їм,вони
направляються,направлятися
Сьогоднішній,Сьогоднішній
строковик,строковик
це,це
завтрашній,завтрашнія
можливий,можливий
учасник,учасник
АТО,АТО
на,на
передовій,передова
їх,вони
готують,готують
для,для
цього,цей
Саме,саме
тому,тому
ми,ми
знову,знову
звертаємося,звертаємося
до,до
Міністерства,міністерство
оброни,оброни
та,та
Міністерства,міністерство
фінансів,фінанси
Без,без
сумніву,сумнів
заробітна,заробітна
плата,плата
і,і
випла,випла
ти,ти
тим,те
хто,хто
на,на
передовій,передова
мають,мати
бути,бути
на,на
порядок,порядок
вищими,вищим
Розробіть,розробіть
цю,цей
схему,схе
покажіть,покажіть
які,який
це,це
будуть,бути
заробі,заріб
тні,тні
плати,плата
преміальні,преміальний
виплати,виплата
зокрема,зокрема
за,за
участь,участь
у,у
бойових,бойовий
діях,дія
і,і
тільки,тільки
після,після
цього,цей
вносьте,вносьте
доку,док
мент,мент
в,в
зал,зал
А,а
просто,просто
відібрати,відібрат
у,у
строкових,строкова
солдат,солдат
ів,ів
і,і
тих,той
хто,хто
виконує,виконувати
свої,свій
обов’,обов’
язки,язки
безпосередньо,безпосередньо
в,в
тилу,тила
неправильно,неправильно
в,в
умовах,умова
можли,можли
вості,вість
агресії,агресія
з,з
боку,бік
Р,р
осійської,осійська
Федерації,федерація
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Мельничук,мельничук
Сергій,Сергій
Петрович,петрович
Воля,воля
народу,народ
МЕЛЬНИЧУК,мельничка
С,С.
П,П.
народний,народний
депутат,депутат
України,Україна
загальнодер,загальнодер
жавний,жавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
Радикальна,радикальна
партія,партія
Олега,олега
Ляшка,ляшко
Група,група
Воля,воля
народу,народ
Насамперед,насамперед
хочу,хотіти
пр,пр.
ивітати,ивітати
всіх,весь
вій,вій
ськовослужбовців,ськовослужбовець
Збройних,збройний
Сил,сила
Украї,укра
ни,ни
і,і
добровольців,доброволець
із,із
святом,свято
Це,це
перше,перше
Друге,друг
Ініціатива,ініціатив
правильна,правильний
група,група
Воля,воля
народу,народ
підтри,підтр
муватиме,муватиме
даний,даний
проект,проект
постанови,постанова
але,але
є,бути
питання,питання
щодо,щодо
надбавок,надбавок
21,21
преміальних,преміальний
за,за
участь,участь
у,у
бойових,бойовий
діях,дія
Якщо,якщо
відб,відб
увається,увається
обстріл,обстріл
здійснюються,здійснюватися
нарахування,нарахування
Інколи,інколи
це,це
є,бути
причиною,причина
провокацій,провокація
на,на
пере,пере
довій,дові
це,це
також,також
треба,треба
врахувати,врахувати
на,на
майбутнє,майбутнє
Міністерству,міністерство
оброни,оброни
Третє,третє
У,у
нас,ми
є,бути
народні,народний
депутати,депутат
які,який
використовують,використовувати
Збройні,збройна
Сили,сила
України,Україна
проти,проти
українського,український
нар,нар
оду,ода
Це,це
пан,пан
Куніцин,куніцин
Ця,цей
людина,людина
з,з
15,15
по,по
20,20
зібрала,зібрати
в,в
Києві,Київ
більше,більше
тисячі,тисяча
військовослужбовців,військовослужбовець
так,так
як,як
колись,колись
Янукович,янукович
25,25
бригаду,бригада
перекидав,перекидава
проти,проти
Майдану,Майдан
Ця,цей
людина,людина
зібрала,зібрати
близько,близько
тисячі,тисяча
бійців,бій
які,який
були,бути
розквартировані,розквартирован
щоб,щоб
приду,прид
шувати,шувати
український,український
народ,народ
Це,це
неприпус,неприпус
тимо,тимо
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
к,к
олеги,олега
обговорення,обговорення
завершено,завершено
Я,я
прошу,просити
всіх,весь
зайти,зайти
до,до
залу,зал
підготуватися,підготуватися
до,до
прийняття,прийняття
рішення,рішення
Блок,блок
Петра,петра
Порошенка,Порошенко
вже,вже
мав,мати
можливість,можливість
виступити,виступити
Колеги,Колеги
прошу,просити
зайняти,зайняти
свої,свій
місця,місце
підготуватися,підготуватися
до,до
прийняття,прийняття
рішення,рішення
Кол,кол
е-,е-
ги,ги
коли,коли
розглядаються,розглядатися
питання,питання
безпеки,безпека
і,і
оборони,оборона
просто,просто
неморально,неморально
перебувати,перебувати
поза,поза
сесійним,сесійний
залом,зало
Будь,бути
ласка,ласка
займіть,займіть
робочі,робоча
місця,місце
Переходимо,переходий
до,до
прийняття,прийняття
рішення,рішення
Ставлю,ставля
на,на
голосування,голосування
пропозицію,пропозиція
комітету,комітет
про,про
прийняття,прийняття
проект,проект
у,у
Постанови,постанова
Про,про
внесення,внесення
зміни,зміна
до,до
пункту,пункт
3,3
Постанови,постанова
Вер,Вер
ховної,ховна
Ради,рада
України,Україна
Про,про
додаткові,додатковий
заходи,захід
щодо,щодо
зміцнення,зміцнення
обороно,обороно
здатності,здатність
та,та
безпеки,безпека
держави,держава
№,№
5048,5048
за,за
основу,основа
і,і
в,в
цілому,ціле
Колеги,Колеги
прошу,просити
зайняти,зайняти
робочі,робоча
місця,місце
Прошу,прош
голосувати,голосуват
Прошу,прош
підтримати,підтримати
За,за
190,190
Покажіть,покажіть
буд,буд
ь,ь
ласка,ласка
по,по
фракціях,фракція
і,і
групах,група
Колеги,Колеги
я,я
бачу,бачити
що,що
не,не
встигли,встигли
Я,я
ще,ще
раз,раз
поставлю,поставити
на,на
голосування,голосування
щодо,щодо
повернення,повернення
Прошу,прош
представників,представник
фракцій,фракція
запросити,запросити
депутатів,депутат
до,до
залу,зал
для,для
прийняття,прийняття
рішення,рішення
Поки,поки
народні,народний
депутати,депутат
заходять,заходити
звер,звер
нуся,нуся
до,до
фракцій,фракція
через,через
свої,свій
секретаріати,секретаріат
запросіть,запросіть
депутатів,депутат
до,до
залу,зал
У,у
День,день
Збройних,збройний
Сил,сила
України,Україна
ми,ми
провалюємо,провалюємо
питання,питання
підтримки,підтримка
на,на
ших,ших
хлопців,хлопець
на,на
передовій,передова
Це,це
неморально,неморально
безвідповідально,безвідповідально
Я,я
дуже,дуже
прошу,просити
всіх,весь
народних,народний
депутатів,депутат
змобілізуватися,змобілізуватися
Поки,поки
депутати,депутат
захо,захо
дять,дять
до,до
залу,зал
1,1
хвилину,хвилина
має,мати
Олег,Олег
Барна,барна
Будь,бути
ласка,ласка
БАРНА,барна
О,О.
С,С.
голова,голова
підкомітету,підкомітет
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
запобігання,запобігання
і,і
протидії,протидія
корупції,корупція
одномандатний,одномандатний
виборчий,виборчий
округ,окр
№,№
167,167
Тернопільська,тернопільська
область,область
партія,партія
Блок,блок
Петра,петра
22,22
Порошенка,Порошенко
Бажаю,бажаю
здоров’я,здоров’я
всім,весь
побра,побра
тимам,тима
по,по
зброї,зброя
доброволь,доброволь
цям,це
і,і
тим,те
хто,хто
причетний,причетний
до,до
зміцнення,зміцнення
обороноздатності,обороноздатність
держави,держава
працівникам,працівник
військово,військово
промислового,промисловий
комплексу,комплекс
Захист,захист
Вітчизни,вітчизни
обов’язок,обов’язок
кожного,кожний
громадянина,громадянина
України,Україна
від,від
якого,який
не,не
можна,можна
відкупи,відкупа
тися,тися
за,за
гроші,гроші
чи,чи
будь,бути
-які,-як
інші,інший
преф,преф
еренції,еренція
Справжній,справжній
громадянин,громадянин
не,не
має,мати
ховатися,ховатися
за,за
спини,спина
дітей,дитина
або,або
дружин,дружин
Кожен,кожний
повинен,повинний
бути,бути
готовим,готов
до,до
захисту,захист
своєї,свій
Вітчизни,вітчизни
і,і
проходити,проходити
строкову,строкова
службу,служба
Я,я
хочу,хотіти
нагадати,нагадати
що,що
неможливо,неможливо
прирівняти,прирівня
контрактників,контрактник
до,до
тих,той
хто,хто
проходить,проходити
строкову,строкова
службу,служба
тому,тому
щ,Щ
о,о
вони,вони
постійно,постійно
на,на
пере,пере
довій,дові
Зекономлені,зекономлен
кошти,кошти
яких,який
так,так
бракує,бракуя
Збройним,збройний
Силам,сила
України,Україна
ми,ми
повинні,повинний
в,в
першу,перший
чергу,черга
направити,направит
на,на
підвищення,підвищення
удвічі,удвічі
утричі,утричі
зар,зар
плат,плат
тим,те
хто,хто
перебуває,перебувати
на,на
передовій,передова
у,у
зоні,зона
обстрілів,обстріл
Натомість,натомість
треба,треба
звернути,звернут
увагу,увага
і,і
вилучити,вилучити
з,з
і,і
списку,список
військово,військово
службовців,службовець
обслуговуючий,обслуговуючий
персонал,персонал
не,не
задіяний,задіяний
ні,ні
в,в
АТО,АТО
ні,ні
на,на
військовій,військовий
службі,служба
наприклад,наприклад
кочегарів,кочегар
які,який
перебувають,перебувати
далеко,далеко
від,від
зони,зона
бойових,бойовий
дій,дія
чи,чи
санітарок,санітарка
Зекономлені,зекономлен
кошти,кошти
треба,треба
направити,направит
виключно,виключно
на,на
підвищення,підвищення
обороноздатності,обороноздатність
країни,країна
А,а
представникам,представник
від,від
Батьківщини,батьківщина
хочу,хотіти
нагадати,нагадати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Колеги,Колеги
прошу,просити
зайняти,зайняти
робочі,робоча
місця,місце
Я,я
поставлю,поставити
на,на
голосування,голосування
пропозицію,пропозиція
про,про
повернення,повернення
до,до
розгляду,розгляд
проекту,проект
постанови,постанова
№,№
5048,5048
Прошу,прош
зайняти,зайняти
робочі,робоча
місця,місце
зараз,зараз
буде,бути
прийняття,прийняття
ріше,ріше
ння,ння
Колеги,Колеги
ми,ми
маємо,мати
підтримувати,підтримувати
армію,армія
не,не
тільки,тільки
на,на
ефірах,ефір
у,у
пропагандист,пропагандист
ських,ських
виступах,виступа
а,а
й,й
своєю,свій
безпосередньою,безпосереднія
роботою,робота
в,в
залі,зал
Ставлю,ставля
на,на
голосування,голосування
пропозицію,пропозиція
повернутися,повернутися
до,до
голосування,голосування
проект,проект
у,у
Постанови,постанова
Про,про
внесення,внесення
зміни,зміна
до,до
пункту,пункт
3,3
Постанови,постанова
Ве,ве
р-,р-
ховної,ховна
Ради,рада
України,Україна
Про,про
додаткові,додатковий
заходи,захід
щодо,щодо
зміцнення,зміцнення
обороно,обороно
здатності,здатність
та,та
безпеки,безпека
держави,держава
Прошу,прош
голосувати,голосуват
Прошу,прош
підтримати,підтримати
За,за
225,225
Одного,один
голосу,голос
не,не
вистачає,вистачати
я,я
бачу,бачити
Один,один
голос,голос
колеги,колега
Будь,бути
ласка,ласка
будьте,будьте
в,в
залі,зал
під,під
час,час
прийняття,прийняття
подібних,подібний
рі,рі
шень,шень
як,як
і,і
будь,бути
-якого,-яке
іншого,інший
Ставлю,ставля
на,на
голосування,голосування
пропозицію,пропозиція
повернутися,повернутися
до,до
голосуванн,голосуванн
я,я
проект,проект
у,у
Постанови,постанова
Про,про
внесення,внесення
зміни,зміна
до,до
пункту,пункт
3,3
Постанови,постанова
Верховної,верховний
Ради,рада
України,Україна
Про,про
додаткові,додатковий
заходи,захід
щодо,щодо
зміцнення,зміцнення
23,23
обороноздатності,обороноздатність
та,та
безпеки,безпека
держави,держава
№,№
5048,5048
Прошу,прош
проголосу,проголос
вати,вата
Прошу,прош
підтримати,підтримати
За,за
234,234
Повернулися,повернулися
Тепер,тепер
я,я
ставлю,ставель
повторно,повторно
на,на
голосування,голосування
пропозицію,пропозиція
комітету,комітет
про,про
прийняття,прийняття
проект,проект
у,у
Постанови,постанова
Про,про
внесення,внесення
зміни,зміна
до,до
пункту,пункт
3,3
Постанови,постанова
Верховної,верховний
Ради,рада
України,Україна
