П’ятниця,п’ятниця
Запитання,запитання
щодо,щодо
встановлення,встановлення
тарифів,тариф
для,для
населення,населення
у,у
разі,раз
прийняття,прийняття
Закону,закон
“,“
Про,про
ринок,ринок
природного,природний
газу,газ
”,”
У,у
цьому,це
контексті,контексть
необхідно,необхідно
зазначити,зазначити
що,що
тариф,тариф
на,на
природний,природний
газ,газ
для,для
населення,населення
має,мати
декілька,декілька
складових,складова
Це,це
вартість,вартість
природного,природний
газу,газ
як,як
товару,товар
вартість,вартість
його,його
транспортування,транспортування
магі,мага
стральними,стральний
і,і
розподільними,розподільний
мережами,мережа
а,а
також,також
тариф,тариф
на,на
поста,поста
чання,чання
який,який
покриває,покриває
витрати,витрата
газопостачальних,газопостачальний
к,к
омпаній,омпанії
пов’я,пов’я
заних,зані
з,з
дистриб’юцією,дистриб’юція
природного,природний
газу,газ
Проектом,проект
Закону,закон
“,“
Про,про
ринок,ринок
природного,природний
газу,газ
”,”
передбачено,передбачено
що,що
тарифи,тариф
на,на
транс,транс
портування,портування
та,та
розподіл,розподіл
природного,природний
газу,газ
будуть,бути
встановлюватися,встановлюватися
відповідно,відповідно
до,до
методології,методологія
затвердженої,затверджена
Національною,національний
комісією,комісія
10,10
регулювання,регулювання
у,у
сферах,сфера
енергетики,енергетики
та,та
комунальних,комунальний
послуг,послуга
Водно,водно
час,час
кінцева,кінцева
ціна,ціна
на,на
природний,природний
газ,газ
для,для
населення,населення
буде,бути
визна,визна
чатися,чатися
постачальниками,постачальник
на,на
яких,який
відповідно,відповідно
до,до
положень,положення
законо,законо
проекту,проект
урядом,урято
буде,бути
покладено,покладено
спеціальні,спеціальний
обов’язки,обов’язок
із,із
захисту,захист
вразливих,вразливий
ка,ка
тегорій,тегорий
споживачів,споживач
Така,такий
ціна,ціна
буде,бути
встановлюватися,встановлюватися
постачальником,постачальник
на,на
підставі,підстава
вимог,вимога
урядової,урядова
програми,програма
що,що
ви,ви
значатиме,значатиме
категорії,категорія
споживачів,споживач
які,який
потребуватимуть,потребуватимуть
державної,державний
підтримки,підтримка
а,а
також,також
з,з
урахуванням,урахування
рівня,рівень
субсидій,субсидія
які,який
будуть,бути
нада,нада
ватися,ватися
у,у
зв’язку,зв’язок
із,із
забезпеченням,забезпечення
потреб,потреба
відповідних,відповідний
категорій,категори
споживачів,споживач
Наступне,наступне
запитання,запитання
За,за
інформацією,інформація
Мінфіну,мінфін
вже,вже
почалося,почалося
зниження,зниження
видобуванню,видобування
газу,газ
із,із
глибин,глибин
понад,понад
5,5
тисяч,тисяча
метрів,метр
Коли,коли
планується,планується
змінити,змінити
фіскальний,фіскальний
режим,режим
для,для
газодобувної,газодобувна
індустрії,індустрія
який,який
було,бути
прийня,прийня
то,то
у,у
грудні,грудня
2014,2014
року,рік
Міненерговугілля,міненерговугілля
України,Україна
працює,працювати
над,над
планом,план
щодо,щодо
збіль,збіль
шення,шення
видобутку,видобуток
вуглеводнів,вуглеводні
в,в
Україні,Україна
що,що
містить,містити
у,у
тому,тому
числі,число
зміну,зміна
ставок,ставок
рентної,рентна
плати,плата
за,за
користування,користування
надрами,надра
для,для
видо,видо
бування,бування
корисних,корисний
копалин,копалина
зокрема,зокрема
природного,природний
газу,газ
Ще,ще
та,та
ке,ке
запитання,запитання
Які,який
технічні,технічні
проблеми,проблема
можуть,могти
виникнути,виникнут
у,у
випадку,випадок
переходу,перехід
населення,населення
з,з
газового,газове
опалення,опалення
на,на
електричне,електричний
у,у
зв’язку,зв’язок
з,з
підвищенням,підвищення
тарифів,тариф
на,на
газове,газове
опалення,опалення
Відповідно,відповідно
до,до
Постанови,постанова
Кабінету,кабінет
Міністрів,міністр
України,Україна
“,“
Про,про
стимулювання,стимулювання
споживачів,споживач
природн,природн
ого,о_о
газу,газ
та,та
теплової,теплова
енергії,енергія
до,до
переходу,перехід
на,на
використання,використання
електричної,електрична
енергії,енергія
для,для
опалення,опалення
і,і
піді,піді
гріву,грів
води,вода
”,”
в,в
Міненерговугілля,міненерговугілля
підготовлено,підготовити
звернення,звернення
до,до
енерго,енерго
постачальних,постачальний
компаній,компанія
щодо,щодо
врахування,врахування
витрат,витрата
на,на
будівництво,будівництво
електричних,електричний
мереж,мере
до,до
діючих,діючий
газових,газова
котелень,котелення
на,на
яких,який
здійсню,здійсня
ватимуться,ватимуться
заходи,захід
щодо,щодо
заміщення,заміщення
природного,природний
газу,газ
електричною,електрична
енергією,енергія
під,під
час,час
формування,формування
інвестиційних,інвестиційний
програм,програма
На,на
сьогодні,сьогодні
процедура,процедура
при,при
єднання,єднання
до,до
електричних,електричний
мереж,мере
у,у
тому,тому
числі,число
збільшення,збільшення
дозвільної,дозвільна
потужності,потужність
врегульована,врегульована
Двадцять,двадцять
секунд,секунда
які,який
залишились,залишились
я,я
використаю,використа
щоб,щоб
відпо,відпо
вісти,вість
на,на
останнє,останній
запитання,запитання
щодо,щодо
газового,газове
балансу,баланс
України,Україна
11,11
Відповідно,відповідно
до,до
прогноз,прогноз
у,у
газовий,газовий
баланс,баланс
у,у
нас,ми
здійснюва,здійснюва
тиметься,тиметься
за,за
рахунок,рахунок
таких,такий
надходжень,надходження
газ,газ
видобутий,видобутий
в,в
Україні,Україна
становитиме,становити
19,19
мільярд,мільярд
ів,ів
кубічних,кубічний
метрів,метр
газ,газ
що,що
надійде,надійде
за,за
імпортом,імпорт
—,—
25,25
9,9
мільярда,мільярд
кубічних,кубічний
метрів,метр
Дякую,дякувати
за,за
увагу,увага
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Будь,бути
ласка,ласка
займіть,займіть
своє,свій
місце,місце
Андрію,Андрій
Анатолійовичу,анатолійович
буде,бути
30,30
хвилин,хвилина
на,на
запитання,запитання
і,і
тоді,тоді
ви,ви
поставит,поставит
е,е
запитання,запитання
Будь,бути
ласка,ласка
міністр,міністр
соц,соц
іальної,іальна
політики,політика
Павло,Павло
Розенко,Розенко
Пане,пане
міністр,міністр
прошу,просити
РОЗЕНКО,розенко
П,П.
В,в
міністр,міністр
соціальної,соціальний
політики,політика
України,Україна
Кабінет,кабінет
Міністрів,міністр
України,Україна
28,28
лютого,лютий
ухвалив,ухвалив
Постанову,постанова
“,“
Про,про
удоскона,удоскона
лення,лення
порядку,порядок
надання,надання
житлов,житлов
их,их
субсидій,субсидія
”,”
яка,який
оприлюднена,оприлюднена
і,і
набрала,набрати
сили,сила
заздалегі,заздалега
дь,дь
ще,ще
до,до
підняття,підняття
тарифів,тариф
Я,я
хочу,хотіти
спинитись,спинитись
на,на
основних,основний
принципах,принцип
цієї,цей
реформованої,реформований
системи,система
субсидій,субсидія
яка,який
повинна,повинний
діяти,диять
в,в
Україні,Україна
Я,я
вже,вже
казав,казати
з,з
парламентської,парламентська
трибуни,трибуна
що,що
нинішня,нинішня
система,система
субсидій,субсидія
працює,працювати
проте,проте
вона,вона
не,не
охоплює,охоплюва
всіх,весь
осіб,особа
які,який
потребують,потребують
р,р.
еальної,еальна
со,со
ціальної,ціальна
підтримки,підтримка
внаслідок,внаслідок
підняття,підняття
цін,ціна
на,на
житлово,житловий
комунальні,комунальний
послуги,послуга
За,за
приблизними,приблизний
оцінками,оцінка
з,з
3,3
мільйонів,мільйон
родин,родина
які,який
потре,потре
бують,бують
підтримки,підтримка
залучено,залучено
до,до
системи,система
субсидій,субсидія
лише,лише
1,1
мільйон,мільйон
100,100
тисяч,тисяча
родин,родина
Для,для
того,те
щоб,щоб
максимально,максимально
забезпечити,забезпечити
пі,пі
д-,д-
тримку,тримка
саме,саме
соціально,соціально
незахищених,незахищений
верств,верств
населення,населення
Кабінетом,кабінет
Міністрів,міністр
України,Україна
і,і
було,бути
ухвалено,ухвалено
28,28
лютого,лютий
відповідну,відповідний
постанову,постанова
яка,який
передбачає,передбачати
кардинальну,кардинальн
реформу,реформ
системи,система
субсидій,субсидія
та,та
умож,умож
ливлює,ливлюва
захистити,захистити
людей,людина
від,від
підвищення,підвищення
цін,ціна
на,на
житлово,житловий
кому,хто
нальні,нальні
п,п.
ослуги,ослуга
і,і
на,на
газ,газ
Отже,отже
основні,основний
принципи,принцип
нової,новий
системи,система
субсидій,субсидія
Перше,перше
Запроваджено,запроваджено
спрощену,спрощен
форму,форма
декларації,декларація
та,та
заяви,заява
Подаються,подаються
лише,лише
два,два
документи,документ
заява,заява
і,і
декларація,декларація
Чітко,чітко
забо,забо
ронено,ронено
вимагати,вимагати
у,у
людей,людина
будь,бути
-які,-як
додаткові,додатковий
довідки,довідки
документи,документ
окрім,окрім
у,у
спро,спро
щеній,щеній
формі,форма
заяви,заява
і,і
у,у
спрощеній,спрощенія
формі,форма
декларації,декларація
12,12
Друге,друг
Субсидія,субсидія
оформлятиметься,оформлятиметься
на,на
12,12
місяців,місяць
а,а
не,не
на,на
шість,шість
як,як
зараз,зараз
Таким,такий
чином,чин
людині,людина
не,не
треба,треба
буде,бути
кожні,кожня
шість,шість
місяців,місяць
подавати,подавати
заяву,заява
звертатися,звертатися
в,в
місцеві,місце
органи,орган
влади,влада
і,і
доби,доба
ватися,ватися
перерахунку,перерахунка
субс,субс
идії,идія
Третє,третє
Автоматичний,автоматичний
перерахунок,перерахунок
субсидій,субсидія
на,на
наступний,наступний
термін,термін
без,без
додаткових,додатковий
заяв,заява
і,і
декларацій,декларація
Людям,людина
які,який
користуються,користуватися
правом,право
на,на
отримання,отримання
субсидій,субсидія
а,а
це,це
я,я
повторюю,повторюва
1,1
мільйон,мільйон
100,100
тисяч,тисяча
родин,родина
не,не
потрібно,потрібно
буде,бути
у,у
травні,травень
знову,знову
звертатись,звертатись
до,до
управлінь,управлінь
соціального,соціальний
захисту,захист
і,і
переоформлювати,переоформлювати
субсидії,субсидія
за,за
новою,новий
системою,система
Це,це
буде,бути
зроблено,зробити
місцевими,місцевий
органами,орган
влади,влада
автоматично,автоматично
Субсидія,субсидія
буде,бути
перепризначена,перепризначена
на,на
наступний,наступний
вже,вже
дванадцятимісячний,дванадцятимісячний
термін,термін
Четверте,четверте
Скасовуються,скасовуються
всі,весь
штучні,штучний
майнові,майн
і,і
фінансові,фінансовий
критерії,критерія
що,що
застосовувалися,застосовувалися
раніше,раніше
Наприклад,наприклад
людина,людина
яка,який
самостійно,самостійно
оплатила,оплатити
хірургічну,хірургічний
операцію,операція
на,на
10,10
тисяч,тисяча
гривень,гривня
позбавляється,позбавляється
права,право
на,на
отримання,отримання
субсидії,субсидія
людина,людина
яка,який
навчала,навчала
свою,свій
дитину,дитина
на,на
суму,сума
10,10
тисяч,тисяча
гривень,гривня
на,на
рік,рік
позбавляється,позбавляється
права,право
на,на
отримання,отримання
су,су
бсидії,бсидія
людині,людина
яка,який
має,мати
пай,пай
у,у
сільській,сільськія
місцевості,місцевість
в,в
сукупний,сукупний
дохід,дохід
враховується,враховуватися
наявність,наявність
цього,цей
паю,па
хоча,хоча
оче,оче
видно,видно
що,що
реального,реальний
доходу,дохід
з,з
нього,він
вона,вона
не,не
мала,мати
Після,після
скасу,скас
вання,вання
всіх,весь
штучних,штучний
критеріїв,критерій
чиновники,чиновник
місцеві,місце
органи,орган
влади,влада
не,не
матимуть,мати
права,право
за,за
ф,ф
ормальни,ормальни
ми,ми
ознаками,ознака
відмовляти,відмовляти
людині,людина
в,в
субсидії,субсидія
Те,те
саме,саме
стосується,стосуватися
безробітних,безробітний
осіб,особа
Для,для
того,те
щоб,щоб
отримувати,отримувати
субсидію,субсидія
безробітний,безробітний
повинен,повинний
був,бути
зареєстру,зареєстр
ватися,ватися
і,і
стояти,стояти
на,на
обліку,облік
в,в
центрі,центр
зайнятості,зайнятість
Цей,цей
критерій,критерія
теж,теж
скасо,скасо
ваний,ваний
тому,тому
що,що
ми,ми
чудово,чудово
розум,розум
іємо,іємо
що,що
в,в
центрах,центр
зайнятості,зайнятість
перебувають,перебувати
на,на
обліку,облік
приблизно,приблизно
лише,лише
20,20
25,25
відсотків,відсоток
безро,безро
бітних,бітни
П’яте,п’яте
Ми,ми
передбачили,передбачили
можливість,можливість
і,і
це,це
справді,справді
досить,досить
прогресивна,прогресивна
революційна,революційна
норма,норма
отримання,отримання
субсидії,субсидія
для,для
тих,той
хто,хто
орендує,орендує
житло,житло
Формально,формально
така,такий
можливість,можливість
також,також
була,бути
Але,але
для,для
того,те
щоб,щоб
отримати,отримати
субсидію,субсидія
треба,треба
було,бути
бути,бути
зареєстрованим,зареєстрований
в,в
орендованому,орендований
житлі,житлі
Ясна,ясна
річ,річ
що,що
орендодавець,орендодавець
м’яко,м’яко
кажучи,казати
13,13
не,не
дуже,дуже
хотів,хотіти
би,би
реєструвати,реєструват
в,в
квартирі,квартира
яку,який
він,він
здає,здає
сторонню,стороння
особу,особа
Тому,тому
ми,ми
спростили,спростил
цей,цей
принцип,принцип
зафіксував,зафіксува
ши,ши
що,що
субси,субс
дія,дія
розраховується,розраховується
на,на
базі,база
зафіксованого,зафіксований
юридичного,юридичний
договору,договір
де,де
чітко,чітко
встановлено,встановити
які,який
люди,людина
орендують,орендують
житло,житло
без,без
їх,вони
реєстрації,реєстрація
в,в
цій,цей
квартирі,квартира
Цей,цей
договір,договір
є,бути
підставою,підстава
мати,мати
право,право
на,на
отримання,отримання
субсидії,субсидія
Шосте,шосте
Буде,бути
враховуватися,враховуватися
лише,лише
чистий,чистий
дох,дох
ід,ід
людини,людина
Це,це
стосується,стосуватися
в,в
першу,перший
чергу,черга
працюючих,працюючий
Бо,бо
складається,складатися
пара-,пара-
доксальна,доксальна
ситуація,ситуація
Наприклад,наприклад
людині,людина
нараховується,нараховуватися
приблизно,приблизно
2000,2000
гривень,гривня
заробітної,заробітний
плати,плата
Реально,реально
після,після
сплати,сплата
відповідних,відповідний
внесків,внесок
вона,вона
отримує,отримує
значно,значно
меншу,менш
суму,сума
—,—
приблизно,приблизно
1800,1800
гри,гра
вень,вень
Але,але
право,право
на,на
отримання,отримання
субсидії,субсидія
визначається,визначатися
на,на
основі,основа
нарахованої,нарахована
а,а
не,не
реально,реально
отриманої,отримана
людиною,людина
суми,сума
Тому,тому
цей,цей
принцип,принцип
також,також
змінено,змінити
Ми,ми
попереджаємо,попереджає
і,і
просимо,просимо
людей,людина
так,так
само,само
це,це
враховувати,враховуват
Це,це
важко,важко
дотримати,дотримать
треба,треба
буде,бути
робити,робити
розрахунки,розрахунок
в,в
том,том
у,у
числі,число
самостійно,самостійно
встановлювати,встановлювати
суму,сума
свого,свій
доходу,дохід
Але,але
мені,я
здається,здаватися
що,що
це,це
реальний,реальний
крок,крок
щодо,щодо
соціаль,соціаль
ного,він
захисту,захист
людей,людина
коли,коли
субсидія,субсидія
нараховується,нараховуватися
на,на
підставі,підстава
реально,реально
отриманих,отримані
доходів,дохід
Сьоме,сьоме
Ми,ми
переходимо,переходий
на,на
безконтактний,безконтактний
спосіб,спосіб
оформ,офо
лення,лення
субсидій,субсидія
Вже,вже
прийнята,прийнятий
відповідна,відповідний
постанова,постанова
уряду,уряд
Від,від
кривається,кривається
можливість,можливість
не,не
приходити,приходити
в,в
місцеві,місце
органи,орган
влади,влада
і,і
не,не
здавати,здават
довідки,довідки
особисто,особисто
Кожна,кожний
людина,людина
може,могти
вдома,вдома
спокійно,спокійно
заповнити,заповнит
декларацію,декларація
заяву,заява
запакувати,запакуват
їх,вони
у,у
конверт,конверт
і,і
переслати,переслат
у,у
відповідний,відповідний
місцевий,місцевий
орган,орган
влади,влада
вказавши,вказати
свої,свій
контактні,контактні
телефони,телефон
щоб,щоб
контролювати,контролювати
момент,момент
призначення,призначення
субсидії,субсидія
не,не
особисто,особисто
а,а
в,в
контактному,контактний
телефонному,телефонний
режимі,режим
Хочу,хотіти
відразу,відразу
сказати,сказати
що,що
це,це
справді,справді
революційна,революційна
реформа,реформа
системи,система
субсидій,субсидія
в,в
Україні,Україна
але,але
її,вона
втілення,втілення
дуже,дуже
серйозно,серйозно
зале,зале
жить,жить
від,від
того,те
наскільки,наскільки
ефективно,ефективно
місцеві,місце
органи,орган
влади,влада
зможуть,змогти
використати,використати
механізми,механізм
які,який
дав,дати
і,і
буде,бути
давати,давати
їм,вони
уряд,уряд
А,а
уряд,уряд
дав,дати
місцевим,місцевий
органам,орган
влади,влада
всі,весь
необхідні,необхідний
важелі,важелі
По,по
-перше,-перше
запро,запро
поновано,поновано
просту,прост
зрозумілу,зрозуміл
для,для
всіх,весь
—,—
як,як
для,для
людей,людина
так,так
і,і
дл,дл.
я,я
14,14
місцевих,місцевий
органів,орган
влади,влада
систему,система
оформлення,оформлення
субсидій,субсидія
по,по
друге,другий
вишукано,вишукано
кошти,кошти
необхідні,необхідний
для,для
того,те
щоб,щоб
ця,цей
система,система
субсидій,субсидія
працювала,працювати
Я,я
просто,просто
нагадаю,нагада
що,що
в,в
Державному,державна
бюджеті,бюджет
України,Україна
2015,2015
року,рік
зафіксовано,зафіксувати
рекордну,рекордна
суму,сума
на,на
виплату,виплата
субсидій,субсидія
—,—
по-,по-
над,над
24,24
мільярди,мільярд
гривень,гривня
На,на
нашу,наш
думку,думка
на,на
сьогоднішній,сьогоднішній
день,день
даної,данія
суми,сума
достатньо,достатньо
для,для
того,те
щоб,щоб
працювала,працювати
ця,цей
система,система
Тобто,тобто
завдання,завдання
щодо,щодо
втілення,втілення
реформованої,реформований
системи,система
субсидій,субсидія
—,—
це,це
тест,тест
для,для
місцевих,місцевий
органів,орган
влади,влада
як,як
вони,вони
зможуть,змогти
ефективно,ефективно
використати,використати
наданий,наданий
механізм,механізм
уникнути,уникнути
ажіотажу,ажіотаж
як,як
вони,вони
налагодять,налагодять
за,за
цей,цей
місяць,місяць
який,який
у,у
них,вони
ще,ще
є,бути
до,до
введення,введення
цієї,цей
системи,система
субсидій,субсидія
у,у
дію,дія
інформування,інформування
суспільства,суспільство
навчання,навчання
працівників,працівник
щоб,щоб
рухатись,рухатися
далі,далі
Міністерство,міністерство
соціальної,соціальний
політики,політика
зі,зі
свого,свій
боку,бік
вже,вже
розпочало,розпочало
активне,активне
нав,нав
чання,чання
представників,представник
міс,міс
цевих,цеве
органів,орган
влади,влада
роботі,робота
з,з
новою,новий
системою,система
субсидій,субсидія
Півтора,півтора
тижня,тиждень
тому,тому
в,в
четвер,четвер
ми,ми
зібрали,зібрали
всіх,весь
керівників,керівник
обласних,обласний
управ,управ
лінь,лінь
соціального,соціальний
захисту,захист
населення,населення
додатково,додатково
ще,ще
по,по
три,три
пред,пред
ставники,ставники
від,від
кожної,кожний
області,область
і,і
презентували,презентували
но,но
ву,ву
систему,система
субсидій,субсидія
роздали,роздали
всі,весь
необхідні,необхідний
інструктивні,інструктивня
матеріали,матеріал
з,з
тим,те
що,що
відповідні,відповідні
інструкції,інструкція
і,і
постанови,постанова
уряду,уряд
в,в
найкоротші,найкоротшя
терміни,термін
були,бути
доведені,доведений
до,до
місцевих,місцевий
органів,орган
влади,влада
Я,я
думаю,думати
що,що
ми,ми
повинні,повинний
говорити,говорити
і,і
про,про
децентралізацію,децентралізація
влади,влада
необхідність,необхідність
дат,дата
и,и
місцевим,місцевий
органам,орган
повноваження,повноваження
і,і
про,про
те,те
що,що
місцеві,місце
органи,орган
влади,влада
своєю,свій
реальною,реальна
роботою,робота
мають,мати
продемонструвати,продемонструвати
як,як
вони,вони
можуть,могти
працювати,працювати
на,на
суспільство,суспільство
допомагаючи,допомагаючи
мешканцям,мешканець
міст,місто
селищ,селище
і,і
сіл,сіл
скористатися,скористатися
соціаль,соціаль
ною,вона
допомогою,допомога
яку,який
надає,надає
їм,вони
держава,держава
Окрім,окрім
того,те
я,я
хочу,хотіти
повідомити,повідомити
що,що
буквально,буквально
з,з
позавчо,позавчо
рашнього,рашне
дня,день
на,на
сайтах,сайт
Кабінету,кабінет
Міністрів,міністр
України,Україна
та,та
Міністерства,міністерство
соціальної,соціальний
політики,політика
можна,можна
знайти,знайти
всі,весь
документи,документ
що,що
стосуються,стосуватися
нової,новий
системи,система
субсидій,субсидія
зокрема,зокрема
бланки,бланк
декларацій,декларація
заяв,заява
Всі,весь
хто,хто
хоче,хотіти
озна,озна
йомитися,йомитися
з,з
цими,цей
документами,документ
будь,бути
ласка,ласка
заходьте,заходьте
на,на
наші,наш
сайти,сайт
скачуйте,скачуйте
їх,вони
роздруковуйте,роздруковуйте
копіюйте,копіюйте
вивчайте,вивчайте
щоби,щоби
з,з
1,1
травня,травень
скористатися,скористатися
новою,новий
системою,система
субсидій,субсидія
15,15
Так,так
само,само
з,з
позавчорашнього,позавчорашній
дня,день
і,і
на,на
сайті,сайт
Кабінету,кабінет
Міністрів,міністр
і,і
на,на
сайті,сайт
Міністерства,міністерство
со,со
ціальної,ціальна
політики,політика
оприлюднено,оприлюднено
розрахунок,розрахунок
субсидій,субсидія
Кожна,кожний
родина,родина
скориставшись,скориставшись
калькулято,калькулято
ром,ро
може,могти
приблизно,приблизно
розрахувати,розрахувати
яка,який
сума,сума
субсидії,субсидія
на,на
оплату,оплата
житлово,житловий
комунальних,комунальний
послуг,послуга
буде,бути
їй,вона
належати,належат
Тобто,тобто
ми,ми
публічно,публічно
робимо,робити
цю,цей
систему,система
відкритою,відкрита
і,і
простою,проста
Всі,весь
документи,документ
ухвалені,ухвалені
інструкції,інструкція
направлені,направлений
на,на
місця,місце
Є,бути
ще,ще
місяць,місяць
для,для
того,те
щоб,щоб
місцеві,місце
органи,орган
влади,влада
перебудувались,перебудувались
для,для
надання,надання
нового,новий
сервісу,сервіс
і,і
проінформували,проінформували
людей,людина
про,про
нову,новий
систему,система
субсидій,субсидія
і,і
про,про
те,те
як,як
вони,вони
можуть,могти
забезпечити,забезпечити
себе,себе
та,та
захистити,захистити
свої,свій
соціа,соціа
льні,льні
права,право
в,в
ситуації,ситуація
підняття,підняття
цін,ціна
Дякую,дякувати
за,за
увагу,увага
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
пане,пане
міністр,міністр
Переходимо,переходий
до,до
запитань,запитання
шановні,шановня
колеги,колега
народні,народний
депутати,депутат
Маємо,мати
30,30
хвилин,хвилина
на,на
запитання,запитання
Прошу,прош
записуйтесь,записуйтесь
Ігор,Ігор
Луценко,луценко
“,“
Батьківщина,батьківщина
”,”
ЛУЦЕНКО,луценко
І,і
В,в
голова,голова
підкоміте,підкоміте
ту,той
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
запобігання,запобігання
і,і
протидії,протидія
корупції,корупція
загально,загально
державний,державний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
“,“
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
“,“
Батьківщина,батьківщина
”,”
Прошу,прош
передати,передати
слово,слово
колезі,колезя
Соболєву,соболєва
ГОЛОВУЮЧИЙ,головуючий
Сергій,Сергій
Соболєв,соболєв
“,“
Б,Б
атьківщина,атьківщина
”,”
будь,бути
ласка,ласка
СОБОЛЄВ,соболщо
С,С.
В,в
член,член
Ко,ко
мітету,мітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
правової,правова
політики,політика
та,та
правосуддя,правосуддя
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
“,“
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
“,“
Батьківщина,батьківщина
”,”
“,“
Батьківщина,батьківщина
”,”
У,у
мене,я
запит,запит
ання,ання
до,до
представника,представника
Міністерства,міністерство
енергетики,енергетики
та,та
вугільної,вугільна
промисловості,промисловість
Чи,чи
можете,могти
ви,ви
назвати,назвати
за,за
останні,останній
10,10
років,рік
хоча,хоча
б,б
одну,один
компанію,компанія
яка,який
виробляє,виробляти
електроенергію,електроенергія
або,або
хоча,хоча
б,б
одну,один
компанію,компанія
яка,який
16,16
передає,передавати
електроенергію,електроенергія
які,який
збанкрутіли,збанкрутіли
через,через
занижені,занижені
тарифи,тариф
на,на
електроенергію,електроенергія
Чи,чи
знаєте,знати
ви,ви
хоч,хоч
одного,один
олігарха,олігарха
який,який
воло,воло
діє,діяти
енергогенеруючими,енергогенеруючи
компаніями,компанія
і,і
який,який
відмовився,відмовитися
на,на
користь,користь
держави,держава
від,від
свого,свій
бізнесу,бізнес
через,через
занижені,занижені
тарифи,тариф
на,на
електро,електро
енергію,енергія
І,і
запитання,запитання
до,до
міністра,міністр
соціальної,соціальний
політики,політика
Я,я
зайшов,зайти
щойно,щойно
на,на
сайт,сайт
Міністерства,міністерство
соціальної,соціальний
політики,політика
Який,який
номер,номер
постанови,постанова
прийнятої,прийнята
урядом,урято
для,для
регулювання,регулювання
нового,новий
порядку,порядок
нарахування,нарахування
