Середа,середа
ях,я
Такі,такий
фотографії,фотографія
повинен,повинний
повісити,повісити
кожен,кожний
парламентар,парламентар
ій,ії
який,який
обирався,обирався
щоб,щоб
бути,бути
народним,народна
депутатом,депутат
Будь,бути
ласка,ласка
я,я
такі,такий
фотографії,фотографія
роздам,розда
кожному,кожний
Україні,Україна
потрібен,потрібний
мир,мир
ГОЛОВУЮЧИЙ,головуючий
Соболєв,соболєв
Сергій,Сергій
Владиславович,владиславович
СОБОЛЄВ,соболщо
С,С.
В,в
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
правової,правова
політики,політика
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Бать,бать
ківщина,ківщина
Я,я
хотів,хотіти
би,би
нагадати,нагадати
всім,весь
тим,те
хто,хто
виступає,виступати
за,за
мир,мир
що,що
10,10
Російська,російський
Федерація,федерація
чуєте,чути
не,не
політики,політика
з,з
двадцятип,двадцятип
’ятирічн,’ятирічн
им,им
ста,сто
жем,воно
а,а
Російська,російський
Федерація,федерація
Путін,путін
через,через
прямий,прямий
наказ,наказ
Шойгу,шойг
і,і
через,через
прямий,прямий
дозвіл,дозвіл
Ради,рада
Федерації,федерація
вв,вв
ела,ела
війська,військо
на,на
територію,територія
України,Україна
за,за
запитом,запит
так,так
званого,зване
Президента,президент
України,Україна
Януковича,Янукович
Якщо,якщо
хтось,хтось
цього,цей
не,не
знає,знати
хочу,хотіти
нагадати,нагадати
І,і
будь,бути
ласка,ласка
роздайте,роздайте
фотографії,фотографія
роз,роз
громленого,громлене
Луганського,луганський
аеропорту,аеропорт
роздайте,роздайте
фотографії,фотографія
розгромле,розгромле
ного,він
Донецького,донецький
аеропорту,аеропорт
і,і
вам,ви
у,у
се,се
буде,бути
зрозуміло,зрозуміло
Путін,путін
приві,прив
в,в
сюди,сюди
війська,військо
а,а
не,не
Україна,Україна
прив,прив
ела,ела
війська,військо
в,в
Росію,Росія
Це,це
перше,перше
Друге,друг
Я,я
хочу,хотіти
нагадати,нагадати
так,так
званим,звані
новим,новий
політикам,політика
які,який
вчора,вчора
продовжили,продовжили
політику,політика
продажних,продажний
старих,старий
політиків,політик
щодо,щодо
так,так
звани,звани
х,х
субсиді,субсид
й,й
Вчора,вчора
ви,ви
фактично,фактично
підтвердили,підтвердили
те,те
що,що
громадяни,громадянин
України,Україна
яких,який
посадили,посадити
на,на
тарифи,тариф
які,який
збільшилися,збільшилися
в,в
11,11
разів,раз
на,на
газ,газ
у,у
дев’ять,дев’ять
разів,раз
на,на
електроенергі,електроенерг
ю,ю
тепер,тепер
будуть,бути
змушені,змушений
в,в
разі,раз
якщо,якщо
в,в
результаті,результат
так,так
званої,звана
перевірки,перевірка
органів,орган
державної,державний
влади,влада
будуть,бути
виявлені,виявлений
факти,факт
так,так
званого,зване
незаконного,незаконне
нарахування,нарахування
їм,вони
субси,субс
дій,дія
виплачувати,виплачуват
в,в
потрійному,потрійний
розмірі,розмір
за,за
три,три
останні,останній
роки,рік
і,і
повертати,повертати
назад,назад
державі,держава
субсидії,субсидія
Це,це
те,те
про,про
що,що
ми,ми
попереджали,попереджати
Субсидії,субсидія
це,це
не,не
вихід,вихід
із,із
ситуації,ситуація
це,це
заганяння,заганяння
ситуації,ситуація
в,в
глухий,глухий
кут,кут
Замість,замість
того,те
щоб,щоб
врегулювати,врегулювати
негайно,негайно
а,а
не,не
переносити,переносити
це,це
на,на
2021,2021
рік,рік
як,як
пообіцяв,пообіця
Президент,президент
Зеленський,зеленський
ситуацію,ситуація
зі,зі
зниженням,зниження
тарифів,тариф
на,на
електроенергію,електроенергія
на,на
газ,газ
на,на
комунальні,комунальний
послуги,послуга
і,і
зменшити,зменшити
кількість,кількість
тих,той
хто,хто
буде,бути
отримувати,отримувати
су,су
бсидії,бсидія
в,в
десятки,десяток
разів,раз
як,як
це,це
є,бути
в,в
кожній,кожний
країні,країна
де,де
від,від
3,3
до,до
4,4
відсотків,відсоток
громадян,громадянин
от,от
римують,римують
субсидії,субсидія
ви,ви
фактично,фактично
запроваджуєте,запроваджуєте
систему,система
поліцейської,поліцейський
держави,держава
яка,який
буде,бути
тепер,тепер
у,у
громадян,громадянин
які,який
законно,законно
отримували,отримувати
субсидії,субсидія
відбирати,відбират
ці,цей
субсидії,субсидія
тільки,тільки
тому,тому
що,що
за,за
цей,цей
час,час
змінилося,змінилося
законодавство,законодавство
Я,я
хотів,хотіти
би,би
звернути,звернут
увагу,увага
на,на
те,те
що,що
фракція,фракція
Батьківщина,батьківщина
не,не
голосувала,голосувала
за,за
цей,цей
закон,закон
і,і
ми,ми
дуже,дуже
вдячні,вдячня
всім,весь
колегам,колега
які,який
не,не
дозво,дозво
лили,лили
фактично,фактично
вводити,вводити
систему,система
перевірки,перевірка
кожного,кожний
громадянина,громадянина
і,і
від,від
бирання,бирання
в,в
них,вони
того,те
що,що
вони,вони
заслужено,заслужено
отримували,отримувати
від,від
держави,держава
Не,не
змінюйте,змінюйте
правил,правило
гри,гра
по,по
ходу,хід
ГОЛОВУЮЧИЙ,головуючий
Додайте,додайте
10,10
секунд,секунда
СОБОЛЄВ,соболщо
С,С.
В,в
Тоді,тоді
не,не
треба,треба
буде,бути
відбирати,відбират
у,у
громадян,громадянин
те,те
що,що
вони,вони
отримали,отримати
законно,законно
Дякую,дякувати
11,11
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Плачкова,плачкова
Тетяна,тетяна
Михайлівна,михайлівна
Опозиційна,опозиційна
платформа,платформа
За,за
життя,життя
ПЛАЧКОВА,плачкова
Т,т
М,М.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
ор,ор
ганізації,ганізація
державної,державний
влади,влада
місцевого,місцевий
самоврядування,самоврядування
регіонального,регіональний
розвитку,розвиток
та,та
містобудування,містобудування
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Опозиційна,опозиційна
платформа,платформа
За,за
життя,життя
Шановні,шановний
народні,народний
депутати,депутат
уже,уже
майже,майже
півмісяця,півмісяць
як,як
із,із
танке,танке
ра,ра
Делфі,делфі
що,що
затонув,затонува
в,в
Одесі,одесі
витікають,витікають
нафто,нафтовий
продукти,продукт
У,у
перший,перший
день,день
після,після
аварії,аварія
рівень,рівень
забруднення,забруднення
чорно,чорно
морської,морський
води,вода
перевищував,перевищува
норму,норма
в,в
157,157
разів,раз
рівень,рівень
забруднення,забруднення
на,на
сьогодні,сьогодні
взагалі,взагалі
невідомий,невідомий
За,за
свідченнями,свідчення
екологів,еколог
зараз,зараз
небезпечні,небезпечня
речовини,речовина
р,р.
озповсюджуються,озповсюджуються
по,по
всьому,все
узбережжю,узбережжя
Чор,чор
ного,він
моря,море
й,й
осідають,осідають
на,на
дно,дно
З,з
потеплінням,потепління
небезпечна,небезпечна
плівка,плівка
покриє,покриє
все,все
Чорне,чорне
море,море
і,і
це,це
створює,створювати
велику,великий
загрозу,загроза
для,для
екології,екологія
Одеси,Одеса
для,для
екології,екологія
Чорного,чорний
моря,море
і,і
для,для
екології,екологія
України,Україна
взагалі,взагалі
Ми,ми
з,з
вами,ви
стоїмо,стої
на,на
порозі,поріг
екологічної,екологічний
катастрофи,катастрофа
Проте,проте
офі,о
ційна,ційна
влада,влада
мовчить,мовчати
Ще,ще
25,25
листопада,листопад
я,я
звернулася,звернутися
до,до
Кабінету,кабінет
Міністрів,міністр
України,Україна
до,до
Міністерства,міністерство
енергетики,енергетики
та,та
захисту,захист
довкілля,довкілля
до,до
голови,голова
Одеської,одеський
обласної,обласна
державної,державний
адміністрації,адміністрація
з,з
вимогою,вимога
термі,терма
ново,ново
на,на
рівні,рівень
уряду,уряд
зібр,зібр
ати,ати
Державну,державна
к,к
омісію,омісія
з,з
техногенно,техногенно
еколо,еколо
гічної,гічна
безпеки,безпека
та,та
надзвичайних,надзвичайний
ситуацій,ситуація
Проте,проте
таке,такий
засідання,засідання
не,не
було,бути
скликане,скликане
навіть,навіть
на,на
рівні,рівень
області,область
Ситуація,ситуація
досі,досі
не,не
визнана,визнана
надзви,надзви
чайною,чайна
більше,більше
того,те
враховуючи,враховувати
такий,такий
значний,значний
рівень,рівень
забруднення,забруднення
як,як
це,це
підтверд,підтверд
жують,жують
екологи,екологи
місцева,місцева
влада,влада
мала,мати
б,б
можливості,можливість
сьогодні,сьогодні
звернутися,звернутися
до,до
Каб,каб
інету,інет
М,М.
іністрів,іністр
і,і
визнати,визнати
ситуацію,ситуація
надзви,надзви
чайною,чайна
на,на
державному,державний
рівні,рівень
Але,але
влада,влада
продовжує,продовжувати
мовчати,мовчати
У,у
цей,цей
же,же
час,час
до,до
танкера,танкера
вже,вже
дістаються,дістаються
туристи,турист
Що,що
вони,вони
звідти,звідти
забирають,забирають
взагалі,взагалі
не,не
відомо,відомо
Внутрішні,внутрішня
приміщення,приміщення
танкера,танкера
не,не
вив,вив
чено,чено
дегазаці,дегазаці
ю,ю
не,не
проведен,проведень
о,о
бортові,борт
журнали,журнал
офіційно,офіційно
не,не
вилучен,вилучен
о,о
але,але
вони,вони
вже,вже
поширюються,поширюватися
в,в
Інтернет,інтернет
і,і
В,в
органах,орган
надзвичайних,надзвичайний
ситуацій,ситуація
вважають,вважати
що,що
може,могти
навіть,навіть
статися,статися
вибух,вибух
Нам,ми
досі,досі
не,не
ска,ска
зали,зала
який,який
об,об
’єм,хін
н,н
афтопродуктів,афтопродукт
вилився,вилився
в,в
море,море
який,який
залишився,залишився
що,що
взагалі,взагалі
перевозилося,перевозилося
на,на
цьому,це
танкері,танкер
12,12
Нас,ми
досі,досі
не,не
поінформовано,поінформовано
про,про
те,те
чи,чи
існує,існувати
на,на
сьогодні,сьогодні
реальна,реальна
небезпека,небезпека
для,для
життя,життя
і,і
здоров,здоров
’я,’я
одеситів,одесити
Небезпечний,небезпечний
танкер,танкер
на,на
березі,берег
Чорного,чорний
моря,море
біля,біля
Одеси,Одеса
потрібно,потрібно
не,не
гайно,гайно
терміново,терміново
звідти,звідти
прибрати,прибрати
в,в
найближчі,найближчий
10,10
15,15
днів,день
інакше,інакше
ми,ми
його,його
взагалі,взагалі
не,не
зрушимо,зруший
з,з
Одесько,одесько
го,го
берега,берег
Але,але
влада,влада
й,й
тут,тут
мовчить,мовчати
а,а
в,в
цей,цей
час,час
гине,гине
море,море
Тому,тому
прошу,просити
вважати,вважати
це,це
моє,мій
звернення,звернення
офіційним,офіційний
депутатським,депутатський
запитом,запит
до,до
Кабінету,кабінет
Міністрів,міністр
до,до
обл,обл
асної,асна
державної,державний
адміністрації,адміністрація
до,до
Адміністрації,адміністрація
морських,морський
портів,порт
мерії,мерія
Одеси,Одеса
Державної,державний
служби,служба
з,з
надзвичайних,надзвичайний
ситуацій,ситуація
Опозиційна,опозиційна
платформа,платформа
За,за
життя,життя
вимагає,вимагати
визначити,визначити
чіткий,чіткий
алгоритм,алгоритм
розв,розва
’язання,’язання
цієї,цей
проблеми,проблема
Ми,ми
вимагаємо,вимагаємо
негайно,негайно
локалі,локалі
зувати,зувати
витік,витік
нафтопродуктів,нафтопродукт
Хоча,хоча
це,це
офіційно,офіційно
замовчується,замовчується
витік,витік
продовжується,продовжуватися
й,й
досі,досі
Ми,ми
вимагаємо,вимагаємо
якнайшвидше,якнайшвидше
прибрати,прибрати
небез,небе
печний,печний
танкер,танкер
з,з
берега,берег
ГОЛОВУЮЧИЙ,головуючий
Додайте,додайте
10,10
секунд,секунда
ПЛАЧКОВА,плачкова
Т,т
М,М.
оперативно,оперативний
розслідувати,розслідуват
кримінальну,кримінальна
справу,справа
як,як
у,у
порушен,порушен
о,о
за,за
фактом,факт
ці,цей
єї,єї
трагедії,трагедія
Саме,саме
така,такий
робота,робота
зможе,змогти
убезпечити,убезпечит
Одесу,Одеса
і,і
всю,весь
Україну,Україна
від,від
екологічної,екологічний
катастрофи,катастрофа
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
Тетян,тетян
о,о
Михайлівн,михайлівн
о,о
Ніколаєнко,ніколаєнко
Андрій,Андрій
Іванович,іванович
Є,бути
Ніколаєнко,ніколаєнко
Немає,немати
Павленко,Павленко
Юрій,Юрій
Олексійович,олексійович
Немає,немати
Кісільов,кісільов
Ігор,Ігор
Петрович,петрович
Рахманін,рахманін
Серг,серг
ій,ії
Іванович,іванович
РАХМАНІН,ракманін
С,С.
І,і
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
національної,національний
безпеки,безпека
оборони,оборона
та,та
розвідки,розвідка
загальнодержав,загальнодержава
ний,ний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Голос,голос
Прошу,прош
передати,передати
слово,слово
Соломії,соломія
Бобровській,бобровськія
ГОЛОВУЮЧИЙ,головуючий
Колег,колег
и,и
я,я
назвав,назвати
ще,ще
три,три
прізвища,прізвище
Шум,шум
у,у
залі,зал
Вибачте,вибачте
Кісільов,кісільов
повинен,повинний
був,бути
передати,передати
слово,слово
13,13
БОБРОВСЬКА,бобровська
С,С.
А,а
секретар,секретар
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
зовнішньої,зовнішній
політики,політика
та,та
міжпарламентського,міжпарламентськи
співробітництва,співробітництво
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборч,виборч
ий,ий
округ,окр
політична,політична
партія,партія
Голос,голос
Доброго,добрий
ранку,ранок
Насправді,насправді
я,я
сьо-,сьо-
годні,годні
виступаю,виступ
не,не
просто,просто
як,як
народний,народний
депутат,депутат
а,а
як,як
і,і
рівнянка,рівнянка
для,для
якої,який
як,як
власне,власне
і,і
для,для
більшості,більшість
виборців,виборець
і,і
жінок,жінка
виборців,виборець
певні,певний
речі,річ
що,що
відбулися,відбутися
в,в
нашій,наш
області,область
неприпустимі,неприпустима
Це,це
стосується,стосуватися
виборчого,виборчий
округу,округа
№,№
153,153
який,який
зачіпає,зачіпає
частину,частина
міста,місто
Рівного,рівне
Я,я
говорю,говорити
про,про
нашого,наш
колегу,колега
Романа,Роман
Іванісова,іванісова
За,за
два,два
тижні,тиждень
не,не
охололи,охололи
збурення,збурення
обурення,обурення
обговорення,обговорення
неприйняття,неприйняття
ситуації,ситуація
яка,який
трапилас,трапилас
я,я
в,в
цьому,це
окрузі,округ
і,і
21,21
листопада,листопад
пан,пан
Президент,президент
ска,ска
зав,зав
що,що
якщо,якщо
факти,факт
виявля,виявля
ться,ться
справжніми,справжній
то,то
він,він
знайде,знайти
спосіб,спосіб
щоб,щоб
Роман,роман
Іванісов,іванісов
не,не
б,б
ув,ув
депутатом,депутат
нашим,наш
колегою,колега
в,в
цьому,це
залі,зал
Я,я
хотіла,хотіти
б,б
нагадати,нагадати
пану,пану
Президенту,президент
про,про
його,його
слова,слово
і,і
про,про
вико,вико
нання,нання
своїх,свій
обов,обов
’язків,’язоко
щодо,щодо
округу,округа
№,№
153,153
Це,це
надзвичайно,надзвичайно
критичн,критичн
о,о
Люди,людина
чекають,чекають
перевиборів,перевибор
чекають,чекають
складання,складання
мандат,мандати
а,а
і,і
чекають,чекають
реакції,реакція
не,не
лише,лише
виключення,виключення
з,з
фракції,фракція
а,а
подальших,подальший
кроків,крок
Наголошую,наголошуя
ще,ще
раз,раз
для,для
мене,я
як,як
для,для
рівнянки,рівнянки
це,це
неприпустим,неприпустий
о,о
Ми,ми
це,це
засуджуємо,засуджуємо
Виборці,виборець
мають,мати
знати,знати
правду,правда
про,про
нас,ми
депутатів,депутат
кого,хто
во,во
ни,ни
обирають,обирають
Ми,ми
чекаємо,чекати
що,що
подальші,подальші
кроки,крок
буд,буд
уть,уть
зроблен,зроблен
і,і
і,і
слова,слово
які,який
сподіваюся,сподіваюся
не,не
були,бути
кинуті,кинуть
на,на
вітер,вітер
будуть,бути
виконані,виконаня
Дуже,дуже
дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Пивоваров,пивоваров
Євген,євген
Павлович,павлович
Молоток,молоток
Ігор,Ігор
Федорович,федорович
Теж,теж
немає,немати
Кириленко,кириленко
Іван,Іван
Григорович,григорович
Не,не
буде,бути
Климпуш,климпуш
Цинцадзе,цинцадзе
Іванна,іванна
Орестівна,орестівна
Ірина,Ірина
Володимирівна,володимирівна
Геращенко,геращенко
До,до
вас,ви
дійшла,дійшла
черга,черга
ГЕРАЩЕНКО,геращенко
І,і
В,в
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
зовнішньої,зовнішній
політики,політика
та,та
міжпарламентського,міжпарламентськи
співробіт,співробіт
ництва,ництва
загальнодержавний,загальнодержавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
по,по
лі-,лі-
тична,тична
партія,партія
Європейська,європейська
солідарність,солідарність
Шановні,шановний
колеги,колега
у,у
ці,цей
дні,день
в,в
Лондоні,Лондон
проходить,проходити
саміт,саміт
НАТ,НАТ
О,О.
захід,захід
високого,високе
рівня,рівень
НАТО,нато
У,у
ньо-,ньо-
му,му
бере,брати
участь,участь
міністр,міністр
закордонних,закордонний
справ,справа
України,Україна
Вадим,Вадим
Пристайко,пристайко
Надзвичайно,надзвичайно
важливою,важлива
є,бути
прийнята,прийнятий
Верховною,верховна
Радою,рада
України,Україна
за,за
іні,іні
ціатив,ціатив
ою,хресна
Європейської,європейський
солідарності,солідарність
заява,заява
до,до
наших,наш
партнерів,партнер
по,по
14,14
Альянсу,альянс
членів,член
НАТО,нато
щодо,щодо
необхідності,необхідність
надати,надати
Україні,Україна
План,план
дій,дія
щодо,щодо
членства,членства
в,в
НАТО,нато
Я,я
ще,ще
раз,раз
хочу,хотіти
подякувати,подякувати
всім,весь
депутатам,депутат
з,з
усіх,увесь
фракцій,фракція
це,це
і,і
Слуга,слуг
народу,народ
і,і
Батьківщина,батьківщина
і,і
Голос,голос
і,і
група,група
За,за
майбутнє,майбутнє
і,і
позафракційні,позафракційня
які,який
підтримали,підтримали
цю,цей
важливу,важливий
ініціативу,ініціатив
Чому,чому
вона,вона
є,бути
такою,такий
важливою,важлива
саме,саме
сьогодні,сьогодні
Тому,тому
що,що
після,після
оновлення,оновлення
парла,парла
менту,мент
наші,наш
партнери,партнери
безумовно,безумовно
чекали,чекати
яким,який
буде,бути
наш,наш
зовнішній,зовнішній
вектор,вектор
і,і
ми,ми
подали,подали
сильний,сильний
месед,месед
ж,ж
що,що
членство,членство
в,в
НАТО,нато
отримання,отримання
ПДЧ,ПДЧ
залишається,залишатися
нашим,наш
головним,головний
планом,план
На,на
жаль,жаль
вчора,вчора
через,через
технічну,технічна
помилку,помилка
на,на
сайті,сайт
Верховної,верховний
Ради,рада
розміщено,розмістити
неоновлену,неоновлену
заяву,заява
тому,тому
що,що
ми,ми
на,на
засіданні,засідання
комітет,комітет
у,у
прийняли,прийняти
цю,цей
заяву,заява
в,в
редакції,редакція
к,к
омітету,омітет
і,і
так,так
само,само
голосували,голосувати
у,у
Верховній,верховній
Раді,раді
Я,я
прошу,просити
засоби,засіб
масової,масова
інформації,інформація
звернути,звернут
на,на
це,це
увагу,увага
У,у
заяві,зая
яку,який
ми,ми
як,як
Верховна,верховний
Рада,рада
України,Україна
послали,послали
світові,світовий
і,і
я,я
сподіваюся,сподіваюся
що,що
пан,пан
Пристайко,пристайко
вже,вже
сьогодні,сьогодні
поінформує,поінформує
в,в
Лондоні,Лондон
наших,наш
партнерів,партнер
мова,мова
йде,йти
про,про
те,те
що,що
11,11
років,рік
тому,тому
Україн,україн
а,а
подала,подати
заявку,заявка
про,про
ПДЧ,ПДЧ
Ми,ми
ще,ще
раз,раз
апелюємо,апелюємо
до,до
наших,наш
західних,західний
партнерів,партнер
що,що
всі,весь
ці,цей
роки,рік
Україна,Україна
сумлінно,сумлінно
виконувала,виконувала
реформи,реформ
в,в
секторі,сектор
без,без
пеки,пеки
охорони,охорона
екології,екологія
захисту,захист
прав,право
людини,людина
боротьби,боротьба
з,з
корупцією,корупція
для,для
того,те
щоб,щоб
наблизитися,наблизитися
до,до
стандартів,стандарт
НАТО,нато
щоб,щоб
о,о
тримати,тримати
план,план
дій,дія
і,і
потім,потім
стати,стати
частиною,частина
Альянсу,альянс
Це,це
відповідь,відповідь
на,на
безпекове,безпекове
питання,питання
нашої,наш
країни,країна
Дуже,дуже
важливо,важливо
щоб,щоб
у,у
цьому,це
контексті,контексть
як,як
першочергов,першочергов
ий,ий
Прези,преза
дентом,дент
України,Україна
нарешті,нарешті
було,бути
подано,подано
проект,проект
Закон,закон
у,у
Про,про
Службу,служба
без,без
пеки,пеки
України,Україна
щоб,щоб
ми,ми
прийняли,прийняти
це,це
законодавство,законодавство
яке,який
очікують,очікують
від,від
нас,ми
наші,наш
партнери,партнери
щоб,щоб
це,це
законодавство,законодавство
відповідало,відповідати
стандартам,стандарт
країн,країна
НАТО,нато
щоб,щоб
там,там
було,бути
ліквідовано,ліквідовано
департамент,департамент
К,К.
як,як
було,бути
обіцяно,обіцяно
під,під
час,час
виборчої,виборча
кампанії,кампанія
Так,так
само,само
важливо,важливо
щоб,щоб
ми,ми
рефор,рефор
мували,мували
нашу,наш
Службу,служба
зовнішньої,зовнішній
розвідки,розвідка
і,і
створили,створити
відповідний,відповідний
комітет,комітет
у,у
Верховній,верховній
Раді,раді
України,Україна
Мені,я
здається,здаватися
шановні,шановня
колеги,колега
що,що
ключовим,ключовий
завданням,завдання
цього,цей
скликання,скликання
є,бути
адаптація,адаптація
українського,український
законодавства,законодавство
до,до
стандартів,стандарт
ЄС,ЄС
для,для
того,те
щоб,щоб
ми,ми
все-таки,все-таки
наблизилися,наблизилися
до,до
можливості,можливість
подавати,подавати
заявку,заявка
до,до
вступу,вступ
в,в
ЄС,ЄС
і,і
стати,стати
частиною,частина
Євросоюзу,Євросоюз
офіційно,офіційно
і,і
так,так
само,само
адап,адап
тація,тація
наших,наш
силових,силовий
структур,структура
оборонного,оборонне
сектору,сектор
та,та
інших,інший
сфер,сфер
до,до
15,15
стандартів,стандарт
НАТО,нато
У,у
такому,такий
разі,раз
в,в
2023,2023
році,рік
як,як
про,про
це,це
говорить,говорити
Європейська,європейська
солідарність,солідарність
ми,ми
зм,зм
огли,огла
б,б
претендувати,претендувати
на,на
по,по
дання,дання
ГОЛОВУЮЧИЙ,головуючий
Шановні,шановний
колеги,колега
час,час
для,для
виступ,виступ
ів,ів
народних,народний
депутатів,депутат
вичерпано,вичерпано
Переходимо,переходий
до,до
розгляду,розгляд
питань,питання
порядку,порядок
денного,денний
Однак,однак
я,я
зараз,зараз
надам,нада
слово,слово
Олені,олені
Костянтинівні,костянтинівня
Кондратюк,кондратюк
КОНДРАТЮК,кондратюк
О,О.
К,К.
заступник,заступник
Голови,голова
Верховної,верховний
Ради,рада
України,Україна
загальнодер,загальнодер
жавний,жавний
багатомандатний,багатомандатний
виборчий,виборчий
округ,окр
політична,політична
партія,партія
Всеукраїнське,всеукраїнське
об’єднання,об’єднання
Батьківщина,батьківщина
Шановні,шановний
колеги,колега
невелике,невелике
оголошення,оголошення
Хочу,хотіти
поінформувати,поінформувати
всіх,весь
вас,ви
щодо,щодо
ситуації,ситуація
яка,який
склалася,склалася
під,під
час,час
пленарного,пленарний
засідання,засідання
13,13
листопада,листопад
під,під
час,час
розгляду,розгляд
земельн,земльня
ого,о_о
питання,питання
коли,коли
була,бути
перервана,перервана
трансляція,трансляція
телеканалу,телеканал
Рада,рада
На,на
моє,мій
доручення,доручення
одразу,одразу
після,після
цього,цей
інциденту,інцидент
Керівником,керівник
Апарату,апарат
Верховної,верховний
Ради,рада
було,бути
створено,створити
робочу,робочий
групу,група
яка,який
на,на
підставі,підстава
проведеної,проведена
перевірки,перевірка
дійшла,дійшла
висновку,висновок
що,що
з,з
вини,вини
телеканалу,телеканал
Рада,рада
жодних,жодний
відключень,відключень
не,не
здійснено,здійснити
і,і
порушень,порушень
не,не
було,бути
Разом,разом
з,з
тим,те
робоча,робоча
група,група
з’ясувала,з’ясувал
що,що
відсутність,відсутність
сигналу,сигналу
протягом,протягом
нетривалого,нетривале
часу,час
40,40
секунд,секунда
виникл,виникл
а,а
у,у
трансляції,трансляція
з,з
супут,супут
никового,никовий
сигналу,сигналу
в,в
зоні,зона
відповідальності,відповідальність
певно,певно
ї,ї
компані,компан
ї,ї
яка,який
прино,прино
сить,сить
свої,свій
виба,виба
чення,чення
Так,так
що,що
пр,пр.
осимо,оси
вибачення,вибачення
у,у
Юлії,юлія
Тимошенко,тимошенко
під,під
час,час
виступу,виступ
якої,який
було,бути
здійснен,здійснен
о,о
відключення,відключення
телетрансляції,телетрансляція
Дякую,дякувати
ГОЛОВУЮЧИЙ,головуючий
Дякую,дякувати
––––––––––,–––––––
Переходимо,переходий
до,до
розгляду,розгляд
питань,питання
порядку,порядок
денного,денний
Шановні,шановний
колеги,колега
на,на
ваш,ваш
розгляд,розгляд
пропон,пропон
ується,ується
проект,проект
Закону,закон
Про,про
внесення,внесення
змін,зміна
до,до
деяких,деякий
законодавчих,законодавчий
актів,акт
України,Україна
щодо,щодо
надання,надання
статусу,статус
та,та
соціальних,соціальний
гарантій,гарантія
окремим,окремий
особам,особа
із,із
числа,число
учасників,учасник
антитеро,антитеро
ристичної,ристична
операції,операція
№,№
2045,2045
1,1
Слово,слово
для,для
доповіді,доповід
надається,надаватися
голові,голова
підкомітету,підкомітет
Комітету,комітет
Вер,Вер
ховної,ховна
Ради,рада
України,Україна
з,з
питань,питання
соціальної,соціальний
політики,політика
та,та
захисту,захист
прав,право
ветеранів,ветеран
Остапенку,остапенко
Анатолію,Анатолій
Дмитровичу,дмитрович
16,16
ОСТАПЕНКО,остапенко
А,а
Д,Д.
член,член
Комітету,комітет
Верховної,верховний
Ради,рада
України,Україна
з,з
питань,питання
соціальної,соціальний
політики,політика
та,та
захисту,захист
прав,право
ветеранів,ветеран
загально,загально
державний,державний
